Borg_ar_201,Camb_Add_2886,Cambrigde_Add_3497,GCAA_00486,Mingana_ar_christ_93_84,Mingana_syr_133,Ms_orient_A_2652,Or_1292b,Paris_Arabe_3637,Vat_ar_2054
omisit,ياولدينادانعملة,,,كلمافعلته,,,,بحكمة,omisit
,,يا,يا,,يا,يا,يا,(يا,
,,بنى,بني,,ابني,بنيّ,بني,بني),
,,عملت,عملت,,عملت,عملت,عملت,عملت,
,معك,معك,معك,معك,معك,معك,معك,معك,
,كل,كل,كل,منالاحسانوالجميل,كل,كل,كل,كل,
,خيرًا,خير,خير,,خير,خير,خير,خير,
,واحسانوانت,واحسانوانت,واحسانوانت,,واحسانوانت,واحسان_وانت,واحسانوانت,واحسانوانت,
,باديتني,باديتنى,باديتني,باديتني,باديتني,باديتني,باديتني,باديتني,
,,,,,عوضه,,,,
,,,,بالقتل,بالقتل_,,,,
,عوضه,عوضه,عوضه,عوضه,,عوضه,عوضه,عوضه,
,بالقبيح,بالقبيح,بالقبيح,يابنيقد,يابنيقد,بالقبيح,بالقبيح,بالقبيح,
,والردي,والردا,والردا,,,والردا,والردا,والردا,
,والقتليا,والقتليا,والقتليا,,,والقتل_يا,والقتليا,والقتل(يا,
,بني,بنى,بني,,,بنيّ,بني,بني),
,قيل,قيل,قيل,قيل,قيل,قيل,قيل,قيل,
,بالامثال,بالامثال,في,فى,في,بالامتال,بالامثال,بالامثال,
,,,الامتال,الامثال,الامثال,,,,
,من,من,من,من,من,من,من,من,
,لا,لا,لم,لم,لم,لا,لا,لا,
,يسمعمن,يسمعمن,يسمعمن,يسمعمن,يسمعمن,يسمعمن,يسمعمن,يسمعمن,
,اذنيه,ادنيه,ادانيه,اذنيه,اذنيه,اذنيه_,ادنيه,اذنيه,
,من,من,من,من,من,من,من,من,
,ققا,قفا,قفا,قفا,قفا,قفا,قفا,قفا,
,رقبته,رقبته,رقبته,رقبته,رقبته,رقبته,رقبته,رقبته,
,يسمعوه,يسمعوه,يسمعوه,,يسمعوه,يسمّعوه_,يسمعوه_,يسمعوه_,
,يسمع,,,يسمع,,,,,
,ق_رميهفيرجليه,,,,,,,,
,فقال,فقال,فقال,فقال,فقال,فقال,فقال,فقال,
,,له,له,له,له,له,,له,
,نادان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,
,,يا,يا,يا,يا,يا,يا,يا,
,,خالىلاىسبب,خالي,خالهِعليايشي,خالي,خالي,خالي,خالي,
,لايسبب,,لايسبب,,لايسبب,لايسبب,لايسبب,لايسبب,
,انتغضبان,انتغضبان,انتغضبان,انتغضبان,انتغضبان,انتغضبان,انتغضبان,انتغضبان,
,عليّ,علىّ,علي,علىّ,عليّ,عليّ_,عليّ,عليّ_,
,فقال,قال,قال,فقال,فقال,قال,قال,قال,
,له,له,له,له,,له,له,له,
,حيقار,حيقار,حيقار,حيقار,حيقار,حيقار,حيقار,حيقار,
,,,,,,_,,,
,لاجل,لاجل,لاجل,لاجل,لاجل,لاجل,لاجل,,
,اني,انى,اني,الذيقويتكوعلمتكوحكمتك,انَّيوقّرتكوكرَّمتك,اني,اني,اني,
,ربيتكوعلمتكووقرتك,وقرتك,وقرتك,,,وقرّتك,وقرتك,وقرتك,
,واكرمتك,واكرمتك,وكرمتكوعضمتك,,,واكرمتك,واكرمتك,واكرمتك,
,وعظمتك,وعظمتك,,,وعظمتك,وعظّمتكوربّيتك,وعظمتك,وعظمتك,
,وربيتك,وربيتك,وربيتك,وربيتك,وربيتك,,وربيتك,وربيتك,
,باحسنالتربيهواجلستكموضعيحتىانك,احسن,احسن,اجمل,احسن,احسن,احسن,احسن,
,,تربيه,تربيه,تربيه,تربيه,تربيه_,تربيه,تربيه,
,,وعلمتك,وعلمتك,,وعلمتك,وعلّمتك,وعلمتك,وعلمتك,
,,حتى,حتي,حتى,حتى,حتى,حتي,حتي,
,تكون,تكون,تكون,تكون,تكون,تكون,تكون,تكون,
,وريثي,وريتى,وريتي,وريتهِوجالسمكاني,وريثي,وريثي,وريتي,وريتي,
,في,في,في,,في,في,في,في,
,العالم,العلم,العلم,,العلم,العالم,العلم,العلم,
,,والحكمه,والحكمه,,والحكمه,والحكمه,والحكمة,والحكمة,
,,والمال,والمال,,والادب,والمال_,والمال,والمال_,
,فباديتني,فباديتنى,فباديتني,فباديتني,فباديتني,فباديتني,فباديتني,فباديتني,
,فيالقتل,بالقتل,بالقتل,بالقتل,بالقتل,بالقتل,بالقتل,بالقتل,
,وردت,ورمت,ورمت,والشتيموالسبورميتنيللهلاكبالسيف,وردت,ورمت,ورمت,ورمت,
,هلاكي,هلاكى,هلاكي,,هلاكى,هلاكي_,هلاكي_,هلاكي_,
,ولكن,لكن,لكن,لكنالربنجاني,لكنالربنجاني,لكن,لكن,لكن,
,الربعلم,الربعلم,الربعلم,وخلصني,وخلَّصني,الربعلم,الربعلم,الربعلم,
,,اننى,,وعلم,وعلم,,انني,انني,
,اني,,اني,اني,اني,اني,,,
,مظلوم,مظلوم,مضلوم,مظلوم,مظلوم,مظلوم,مظلوم,مظلوم,
,فخلصني,فخلصنى,فخلصني,,,فخلّصنيمنشرّك_,فخلصني,فخلصني,
,منشرك,منشرك,منشرك,,,,منشرك_,منشرك,
,الذينصبتهلي,,,,,,,,
,لانالربيجبر,لانالربيجبر,لانالربيجبر,لانالربيجبر,لانالربيجبر,لانالربيجبر,لانالربيجبر,لانالربيجبر,
,خواطر,قلوب,خاطر,قلوب,خواطر,قلوب,قلوب,قلوب,
,المنكسره,المنكسره,المنكسره,المنكسرا,المنكسرين,المنكسره_,المنكسره,المنكسره,
,ويردع,ويدل,ويردل,ويرذل,ويرذل,ويرذل,ويدل,ويذل,
,,,,المتجبرن,,,,,
,,,الحسودين,,,,,,
,,,المتجبرين,,المتجبرين,,,,
,الحسودين,الحسودين,,الحسودين,الحسودين,الحسودين,الحسودين,الحسودين,
,,,ياولدي,,,,,,
,والمستكبرين,المتكبرين,,يابني,ياولديصرتليمثل,المتكبرين_,المتكبرين,المتكبرين,
,يا,يا,,,,يا,يا,(يا,
,ولدي,بنى,,,,بنيّ,بني,بني),
,انت,,صرت,,,صرت,انت,,
,صرتلي,صرت,ليمتل,صرتلي,,,صرت,صرت,
,مثل,مثل,,مثلالعقرب,,مثل,مثل,مثل,
,,,عقرب,,عقرب,,,,
,عقرب,عقرب,,,,عقرب,عقرب,عقرب,
,,,الديادا,,الذى,,,,
,الذي,,,الذي,,الذي,,,
,,,ضرب,,اذا,,,,
,اذا,اذا,,,,اذا,اذا,اذا,
,,,زنافتهفيالصفايتقبهايابنيصرتليمتلي,زنابتة,ضرب,,,,
,ضرب,,,,,,,,
,,ضربت,,,زنابتهفيالصخرهيثقبهاياابنيقدصرتمثلعنزةالتى,ضربت,ضربت,ضربت,
,,,العنزه,,,,,,
,,زنابتها,الدي,,,زنّابتهافى,زننافتها,زُنابتها,
,,في,,في,,,في,في,
,النحاس,النحاس,,الصخرافيثقبهاويبخشهايابني,,النحاس,النحاس,النحاس,
,يثقبهياولديانتمثل,ثقبتهيا,,,,ثقبته_يا,تقبتهيابنيانت,تقبته(يابني)انت,
,العنزه,,,,,,,,
,,بنىصرتلىّ,,صرتلي,,بنيّانتصرتليمثلالحجالة,صرتلي,صرتلي,
,الذي,مثل,,مثل,,,مثل,مثل,
,,,,,,المربوطه,,,
,اكلت,السجالمة,اكلت,,اكلت,فى,السجالمة,السجالمة,
,,المربوطه,,,,,المربوطه,المربوطه,
,عروق,,عرق,عرق,عرق,,,,
,الفوه,,الفوّه,الفوه,الفوَّه,,,,
,,,,التياكلتهاالعنزي,,,,,
,فقالتلها,,فقالتلها,فقالتلها,فقالتلها,,,,
,,,الفوه,لابدليدبغ,الفوه,,,,
,اليومكلي,,اليومكلي,,اليومكلي,,,,
,مني,,مني,,منىواتنعمي,,,,
,واشبعي,,واتنعمي,,,,,,
,وغدا,,وغدا,,وغدا,,,,
,يدبغون,,يدبغون,,يدبجونجلدكي,,,,
,جلدك,,جلدكي,جلدك,,,,,
,في,,في,في,في,,,,
,عروقي_,,عروقي,عرقٍيابني,عروقي,,,,
,ياولدي,,ياولدي,,يابنيصرتليمثي,,,,
,انتصرتليمثلانساننظررفيقهعريان_وكانزمانشتاوبرد_فاخدماباردوسَكَبَعليه_ياولديانت,,صرتليمتل,,,,,,
,صرتليمثل,,,صرتليمثل,,,,,
,انسان_,,انسان,انسان,انسان,,,,
,اخد,,اخد,اخد,اخذ,,,,
,حجرًا,,حجرًا,حجروارماهانحو,حجرًا,,,,
,ورماها,,ورماها,,ورماه,,,,
,الى,,الي,,الى,,,,
,السما_ليرجم,,السماليرجم,السماليرجم,السماليرجم,,,,
,,,,,ربه,,,,
,بها,,بها,,بها,,,,
,ربه_,,ربه,ربه,,,,,
,فلا,,فلا,فلا,فلا,,,,
,,,صابة,,وصل,,,,
,صابت,,,وصلت,,,,,
,الحجرولا,,الحجرولا,الحجرولا,الحجرولا,,,,
,وصلت,,وصلت,,صابت,,,,
,,,,اصاب,,,,,
,الى,,الي,شي,شي,,,,
,العلو_,,العلو,بلاخدالسخطوالخطا,,,,,
,بلاكتسب,,بلاكتسب,,بلاكتسب,,,,
,,,,يابنيصرتلي,,,,,
,الاثم,,الاتم,مثلانساننظررفيقهعريانفييوم,الاثم,,,,
,والخطيه_,,والخطيه,,والخطيَّهيابنيصرتليمثلانساننظررفيقهعريانوكانزمانالشتافاخذماء,,,,
,,,,برد,,,,,
,,,يابنيصرتلي,,,,,,
,ياولديانت,,,وتلجفاخدماباردوسكبه,,,,,
,,,متلانساننضررفيقهعريانوكانزمان,,,,,,
,,,برد,,,,,,
,,,وشتافاخدما,,,,,,
,,,باردوسكب,,باردوسكب,,,,
,,,عليهيا,عليهيا,عليهيا,,,,
,,,ولدي,بني,بني,,,,
,لووقرتني,,لووقرتني,لووقرتني,لووقرتني,,,,
,واكرمتني,,وكرمتني,,وكرمتني,,,,
,وسمعتكلامي,,وسمعتكلامي,,وسمعتكلامي,,,,
,كنت,,كنت,كنت,كنت,,,,
,ورثتني,,ورتتني,ورثني,ورثتني,,,,
,وملكت,,وملكت,,وملكت,,,,
,مالي_,,مكاني,,مكاني_,,,,
,يابني,,يابني,,,,,,
,اعلم,,اعلم,اعلم,اعلم,,,,
,انه,,انه,ياولدي,ان,,,,
,لوطال,,لوطال,لوطال,لوطال,,,,
,ذَنَبالكلبوالخنزير,,دنب,دنب,ذنب,,,,
,,,الخنزير,الخنزير,الخنزير,,,,
,عشرة,,عشرتادرع,عشر,عشرة,,,,
,اذرع,,,أذرع,أذرع,,,,
,لم,,لم,ما,لم,,,,
,يقدم,,يقوم,يقوم,يقوم,,,,
,مقامالفرسولوكان,,مقامالفرسولوكان,مقامالفرسولوكان,مقامالفرسولوكان,,,,
,مثل,,شعره,شعر,شعره,,,,
,,,الين,الين,الين,,,,
,,,,من,من,,,,
,الحرير_,,,الحرير,الحرير,,,,
,ياولديانا,,,وانعممنالكتانيابني,وانعممنالكتانيابني,,,,
,كنت,,,كنت,كنت,,,,
,اظنانك,,,اضمربانك,اظنانك,,,,
,تصير,,,تصير,تصير,,,,
,وريثي,,,وريتهِ,وارثي,,,,
,عندمماتي_,,,عندمماتي,عندمماتي,,,,
,وانت,,,فغرت,فانت,,,,
,منحسدك,,,منحسدك,منحسدك,,,,
,وشقاوتكاردت,,,وردت,وشقاوتكاردت,,,,
,تقتلنيولكنالرب,,,قتلي,قتلي,,,,
,,,,عاجلاوالرب,لكنالربنجانيياولديانتصرتليمثل,,,,
,نجانيمن,,,نجانيمن,,,,,
,مكرك_ياولديانت,,,شركياولدي,,,,,
,صرتلي,,,صرتلي,,,,,
,اسدصاحب,,,مثل,اسدصاحب,,,,
,,,,,حمارفبداالحماريخدم,,,,
,,,,الاسد,الاسد,,,,
,,,,الذيصاحبه,مدةمنالزمانالىان,,,,
,حمار,,,حمار,,,,,
,فبقا,,,فلما,,,,,
,,,,سمن,سمن,,,,
,الحمار,,,الحمار,الحمار,,,,
,يقدم,,,وثب,فوثب,,,,
,,,,عليه,عليه,,,,
,الاسد,,,وافترسهيابنيصرتمثلالفخالمطمورفيالارضفاتيعصفوروسلمعليهفردعليهالسلاموقاللهكلممارزقكاللهبماعنديمنهذهالحنطهفلمابدايلقطمنالقمحقلبعليهالفخومسكهفقاللهالعصفورانكانهذهصدقتكاللهلايقبلهامنك,الاسد,,,,
,مدهزمانفوثبالاسدعلىالحمارذاتيوم,,,,,,,,
,واكله,,,,واكله,,,,
,_,,,,يابنيانتصرتمثل,,,,
,ياولدي,,,ياولدي,,,,,
,انت,,,,,,,,
,صرتليمثل,,,صرتليمثل,,,,,
,قملة,,,قملهتبدافي,قملة,,,,
,الحنطه,,,الحنطه,الحنطه,,,,
,لانها,,,وتفسدها,فانها,,,,
,لاتصلح,,,لاتصلح,لاتصلح,,,,
,لشيبلتفسدالحنطه_,,,ياولديصرتلي,لشيبلتفسدالحنطه,,,,
,وتنخرها_ياولديانتصرت,,,,وتخبّلهاياولدىانتصرتمثل,,,,
,مثل,,,مثل,,,,,
,انسان,,,انسان,انسان,,,,
,زرع,,,عشر,يزرع,,,,
,عشرة,,,,عشرة,,,,
,اكيالحنطهفلما,,,اكيالحنطهفلما,اكيالحنطهفلما,,,,
,صارالحصادفقام,,,تعبعليهاوحصدها,صارت,,,,
,حصدها,,,,حصدها,,,,
,ورجدها,,,,ودقها,,,,
,ودرسها,,,ودرسها,ودرسها,,,,
,وتعبعليها,,,ودراهاطلعتتمانيت,وتعبعليها,,,,
,غايت,,,,غاية,,,,
,التعب,,,,التعب,,,,
,فصارت,,,,فطلعت,,,,
,عشرةاكيال,,,,عشرةاكيال,,,,
,,,,,ايضًا,,,,
,فقال,,,فقال,فقال,,,,
,لها,,,ياليت,لها,,,,
,صاحبهاياريتك,,,,ياليتىلانبتتى,,,,
,لا,,,لا,,,,,
,تنبتيولاضرتي_ياولديانت,,,نبتي,,,,,
,,,,ولا,ولا,,,,
,,,,صرتهِيابني,صرتييابنيانتصرتليمثل,,,,
,صرتليمثل,,,صرتليمثل,,,,,
,الحجله,,,,الحجله,,,,
,المرميه,,,,المربوطه,,,,
,في,في,,,في,,في,في,
,الشبكه,الشبكه,,,شبكه,الشبكه_,الشبكة,الشبكه,
,فلاتقدر,فلاتقدر,,,فلاتقدر,فلاتقدر,فلاتقدر,فلاتقدر,
,تخلص,تخلص,,,تخلّص,تخلّص,تخلص,تخلص,
,نفسها,روحهاونفسها,,,نفسها,روحهاونفسها_,روحهاونفسها,روحهاونفسها,
,بل,بل,,,بل,بل,بل,بل,
,تدعي,تدعى,,,تدعي,تدعي,تدعي,تدعي,
,الحجل,الحجل,,الحجل,الحجل,الحجل,الحجل,الحجل,
,لترميهممعها,لترميهممعها,,المربوطفيشبكتالصيادفيرمهرفاقه,اليها,لترميهممعها_,لترميهممعها,لترميهممعها,
,في,,,في,,,,,
,الشبكه,,,الهوانومايقدرينجينفسه,,,,,
,يا,يا,,يا,يا,يا,يا,(يا,
,بنيانت,بنىانتصرتلىّ,,ولدي,ولدي,بنيّ,بنيانت,بني)انت,
,صرتليمثل,,,صرتليمثل,انتصرت,انتصرت,صرتليمثل,صرتليمثل,
,,مثل,,,مثل,مثل,,,
,الكلب,الكلب,,الكلب,الكلب,الكلب,الكلب,الكلب,
,الذي,الذى,,الذي,الذى,الذى,الذي,الذي,
,بردفدخل,بردفدخل,,بردفدخل,بردفدخل,بردفدخل,بردفدخل,برد_فدخل,
,الى,الى,,الى,الى,الى,الي,الي,
,بيت,بيت,,بيت,بيت,بيت,بيت,بيت,
,الفاخرليدفى,الفخار,,الفخار,الفخار,الفخّار,الفخار,الفخار,
,,ليدفا,,ليدفا,ليدفا,ليدفا_,ليدفا_,ليدفا_,
,فلما,فلما,فلما,فلما,فلما,فلما,فلما,فلما,
,دفى,دفى,دفي,سخنت,دفى,دفى,دفي,دفي,
,بداينبحعليهم,بداينبحعليهم,بداينبحعليهم,بداينبحعليهم,بداينبحعليهم,بداينبحعليهم_,بداينبحعليهم,بداينبحعليهم,
,فطردوه,فضربوهوطردوه,فطردوه,فطردوه,فضربوهوطردوه,فطردوه,فضربوهوطردوه,فضربوهوطردوه,
,وضربوه,,وضربوه,وشحتوه,,وضربوه,,,
,ليلا,ليلا,ليلا,ليلا,ليلا,ليلا,ليلا,ليلا,
,يعضهم_,يعضهم,يعضهم,يعضهم,يعضهم,يعضّهم_,يعضهم,يعضهم,
,يا,يا,يا,يا,يا,يا,يا,(يا,
,بني,بنىانتصرتلىّمثل,بني,بني,بني,بنيّ,بني,بني),
,انت,,انت,,انت,انت,انت,انت,
,صرت,,صرت,صرت,صرت,صرت,صرت,صرت,
,ليمثل,,متل,ليمثل,مثل,مثل,ليمثل,ليمثل,
,الخنزير,الخنزير,الخنزير,الخنزير,,الخنزير,الخنزير,الخنزير,
,الذي,الذى,الدي,الذي,الذي,الذى,الذي,الذي,
,دخل,دخل,دخل,دخل,دخل,دخل,دخل,دخل,
,,,,,,,الي,الي,
,,,,معالاكابر,,,,,
,الى,الى,,الى,الى,الى,,,
,الحمام,الحمام,الحمام,الحمام,الحمام,الحمام,الحمام,الحمام,
,معالاكابر,معالاكابر,معالاكابر,,معالاكابر,معالاكابر_,معالاكابر_,معالاكابر_,
,فلماخرج,فلماخرج,فلماخرج,فلماخرج,فلماخرج,فلماخرج,فلماخرج,فلماخرج,
,منالحمام,,نضرجورت,خارج,,,,,
,نظر,نظر,,نظر,نظر,نظر,نظر,نظر,
,جورة,جورة,,الىجوره,جورة,جورة,جورة,جورة,
,سيان,سيان,سيان,,سيان,سيان,سيان,سيان,
,,,نتنهفنزل,,نتنهفنزل,نتنهفنزل,,,
,,,تمرغ,,تمرّغ,تمرّغ,,,
,,,فيها,فيها,فيها,فيها_,,,
,,,يا,حماه,يا,يا,,,
,,منتنه,ولدي,منتنه,ولدي,بنيّ,منتنه,منتنه,
,فنزل,نزل,,فنزل,,,نزل,نزل,
,,,انتصرت,,انتصرت,,,,
,تمرمغ,تمرغ,متل,تمرغ,,,تمرمغ,تمرغ,
,فيها,فيها,,فيها,,,فيها,فيها,
,يابنيانت,يا,,وكلشييرجعالىاصلهيابني,,,يا,(يا,
,,بنى,,,,,بني,بني),
,صرتلي,,,صرتليمثل,,,,,
,,انتصرت,,,,,,,
,,,,القطهالتىقالوالهابطلهالسرقاحتىنعمللكمرودذهبفيادنيكوطوقواساوروخلاخيلفقالتاناصنعتابيمااتركهايابني,,انتصرتمثل,انتصرتمثل,انتصرتمثل,
,مثل,مثل,,,مثل,,,,
,التيس,التيس,التيس,,التيس,التيس,التيس,التيس,
,الذي,الذى,الدي,,الذي,الذي,الذي,الذي,
,يدخل,يدخل,يدخل,,يدخل,يدخل,يدخل,يدخل,
,,ويدخّل,,,,ويدخّل,ويدخّل,ويدّخل,
,ارفاقه,ارفاقه,ارفاقه,,ارفاقه,ارفاقه,ارفاقه,ارفاقه,
,للدبح,للدبح,للدبح,,للدبح,الىالذبح_,للدبح,للدبح,
,ولايقدر,ولايقدر,ولايقدر,,ولايقدر,ولايقدر,ولايقدر,ولايقدر,
,يخلص,يخلص,يخلص,,يخلص,يخلّص,يخلص,يخلص,
,نفسه_يا,روحه,نفسهيا,,روحه,روحه,روحه,روحه,
,ولدي,ونفسهيا,,,يا,ونفسه_يا,ونفسهيا,ونفسه(يا,
,,بنى,بني,,بني,بنيّ,بني,بني),
,الكلب,,الكلب,,الكلب,,,,
,الذي,,الدي,,الذي,,,,
,لميقتاتمنصيدهيصيرماكلًا,,لميقتاتمنصيدهيصيرماكلًا,,لميقتاتمنصيدهيصيرماكلًا,,,,
,للدبيبيابنييدالذي,,للكلاب,,للكلاب,,,,
,,,ارفاقه,,,,,,
,لم,,,,,,,,
,,,ياولدي,,ياولدي,,,,
,,يدًا,يدًا,,يدًا,يدًا,يدًا,يدًا,
,,,,,,لم,,,
,,لا,لم,,لم,,لا,لا,
,تتعب,تتعب,تتعب,,تفلحوتتعب,تتعب,تتعب,تتعب,
,وتفلحوتكون,وتفلحوتكون,وتتعلج,,,وتفلحوتكون,وتفلحوتكون,وتفلحوتكون,
,,,وتكون,,وتكون,,,,
,حريصه,حريصه,حريصه,,حريصه,حريصه,حريصه,حريصه,
,شاطره,وشاطره,شاطره,,شاطره,شاطره_,وشاطره,وشاطره,
,تقطعمناباطها_يا,تقطعمناباطهايا,تقطعمناباطهايا,,تقطعمناباطهايا,تقطعمناباطها_يا,تقطعمناباطهايا,تقطعمناباطها(يا,
,ولدي,بنى,بني,,بني,بنيّ,بني,بني),
,انت,انت,انت,,انت,انت,انت,انت,
,صرت,صرت,صرت,صرت,صرت,صرت,صرت,صرت,
,لي,,لي,لي,لي,,,,
,مثل,مثل,متلالشجرتالدي,مثل,مثلشجرة,مثل,مثل,مثل,
,شجره,الشجرة,,الشجراالتىارادو,,الشجرة,الشجره,الشجرة,
,الذي,الذى,,,التي,الذي,التي,التي,
,قطعوا,قطعوهاوفروعها,قطعوا,,قصدوا,قطعوهاوفروعها,قطعوهاوفروعها,قطعوهاوفروعها,
,فرعوها,معها,فروعها,قطعها,قطعها,معهم_,معها,معها_,
,فقالت,فقالت,فقالت,فقالت,فقالت,فقالت,فقالت,فقالت,
,لهم,,لهم,لهم,لهم,لهم,,,
,لو,,,,اه,,,,
,,لولا,لولا,لولا,لولا,لولا,لولا,لولا,
,ما,ما,ما,,ما,ما,ما,ما,
,فييدكم,فييدكم,فييدكم,فييدكم,فييدكم,فييدكم,فييدكم,فييدكم,
,مني,منى,مني,مني,مني,مني,مني,مني,
,لما,لما,لما,ما,لما,لما,لما,لما,
,قدرتم,قدرتم,قدرتم,قدرتم,قدرتم,قدرتم,قدرتم,قدرتم,
,على,على,علي,على,على,على,علي,علي,
,قطعييا,قطعىيابنى,قطعييا,قطعييا,قطعييا,قطعي_يا,قطعييا,قطعي(يا,
,ولدي,,بني,ولدي,ولدي,بنيّ,بني,بني),
,انتمثل,انت,انت,يدلمتفلحوتعملوتحرصوالاتقطعمناباطهايابني,انتمثل,انت,انت,انت,
,,صرتمثل,متل,,,صرتمثل,صرتمثل,صرتمثل,
,القطه,السنوره,القطه,,السنوره,السنوره,السنوره,السنوره,
,الذي,التىقالوالها,الدي,,الذي,التىقالوالها_,التي,التي,
,قالوالهابطلي,بطلى,قالوالهابطلي,,قالوالهابطلي,بطّلي,قالوالهابطلي,قالوالهابطلي,
,السرقه,السرقه,السرقه,,السرقه,السرقه,السرقه,السرقه,
,حتى,حت,,,حتى,حتى,حتي,حتي,
,نصنع,نصنع,,,نصنع,نصنع,نصنع,نصنع,
,لكيقلاده,لك,,,لكىحلقوقلايد,لك,لكِ,لكِ,
,,قلايد,,,,قلايد,قلايد,قلايد,
,من,من,,,من,من,من,من,
,دهب,ذهب,,,دهب,ذهب_,ذهب,ذهب,
,ونطعمك,ونطعمكى,ونطعمك,,ونطعمكي,ونطعمكي,ونطعمك,ونطعمكِ,
,سكرولوز_,سكرولوز,سكرولوز,,سكرولوز,سكرولوز_,سكرولوز,سكرولوز_,
,فقالت,فقالت,ونسقيكيفقالتاناصنعتاميوابي,,فقالت,فقالت,فقالت,فقالت,
,,لهم,,,,لهم,لهم,لهم,
,انا,انا,,,انا,انا,انا,انا,
,صنعة,صنعت,,,صنعتابيواجدادي,صنعة,صنعت,صنعت,
,ابيوامي,ابىوامى,مااتركها,,مااتركها,ابيوامي,ابيوامي,ابيوامي,
,ما,لست,,,ابدًا,ليس,لست,لست,
