430,syr. 434,syr. 611,syr. 612
ܘܗܐܐܝܬܠܝܥܒܕܐ,,ܘܗܐܐܝܬܠܝܥܒܕܐ,ܘܗܐܐܝܬܠܝܥܒܕܐ
ܫܘܐܠܡܘܬܐܕܐܣܟܠܒܣܓܝ̈ܐܬܐܘܗܐ,,ܚܝܒܐ,ܚܝܒܐ
ܪܡܐ,,ܪܡܐ,ܪܡܐ
ܒܝܬܐܣܝܪ̈ܐ܂,,ܒܚܒܘܫܝܐ,ܒܚܒܘܫܝܐ
ܘܫܡܗܡܕܝܦܪ܂,,ܘܫܡܗܡܕܝܦܪ܂,ܘܫܡܗܡܕܝܦܪ܂
,,ܘܚܝܒܠܩܛܠܐܡܛܠ,ܘܚܝܒܠܩܛܠܐܡܛܠ
,,ܒܝܫ̈ܬܗ܂,ܒܝܫܬܗ̈܂
ܐܦܩܝܗܝ,,ܐܦܩܝܗܝ,ܐܦܩܝܗܝ
ܘܐܠܒܫܝܗܝܠܒܘܫܝ܂ܘܦܩܘܕܠܐܝܠܝܢ,,ܗܫܐܘܢܠܒܫܠܒܘܫܝ̈܂ܘܐܦܩܠܓܒܪ̈ܐ,ܗܫܐܘܢܠܒܫܠܒܘܫܝ̈܂ܘܐܦܩܠܓܒܪ̈ܐ
ܕܥܡܟ,,ܕܥܡܟ,ܕܥܡܟ
ܕܢܬܛܝܒܘܢ,,ܗܠܝܢܪ̈ܘܝܐ܂ܘܢܩܛܠܘܢܝܗܝ,ܗܠܝܢܪ̈ܘܝܐ܂ܘܢܩܛܠܘܢܝܗܝ
ܟܕ,,ܟܕ,ܟܕ
ܪܘܐܝܢ܂ܘܡܬܩܛܠܘܠܐ,,ܠܐ,ܠܐ
ܝܕܥܝܢ,,ܝܕܥܝܢ,ܝܕܥܝܢ
ܡ̇ܢܐܬܘܛܠ܂,,ܠܡ̇ܢܩܛܠܘ܂,ܠܡ̇ܢܩܛܠܘ܂
ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗܡܐܐ,,ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗܡܐܐ,ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗܡܐܐ
ܐܡ̈ܝܢ܂,,ܐܡܝ̈ܢ܂,ܐܡܝܢ܂
ܘܗܒܦܓܪܗ,,ܘܗܒܦܓܪܗ,ܘܗܒܦܓܪܗ
ܕܢܬܩܒܪ܂,,ܕܢܩܒܪܘܢܝܗܝ܂,ܕܢܩܒܪܘܢܝܗܝ܂
ܘܢܦܘܩܛܒܐܒܐܬܘܪ,,ܘܢܦܘܩܛܒܐܒܐܬܘܪ,ܘܢܦܘܩܛܒܐܒܐܬܘܪ
ܘܢܝܢܘܐ܂,,ܘܢܝܢܘ̈ܐ,ܘܢܝܢܘܐ
ܕܐܚܝܩܪܐܬܩܛܠ܂ܗܝܕܝܢ,,ܕܐܚܝܩܪܐܬܩܛܠ܂ܗܝܕܝܢ,ܕܐܚܝܩܪܐܬܩܛܠ܂ܗܝܕܝܢ
ܩܡ,,,
ܐܣܦܘܩܠܛܪܐ,,ܐܣܦܘܩܠܛܪܐ,ܐܣܦܘܩܠܛܪܐ
ܘܥܡܗܐܢ̄ܬܬܝܘܥܒܕܘ,,ܘܐܫܦܓܢܐܒܪܬܙܘܓܝܥܒܕܘ,ܘܐܫܦܓܢܐܒܪܬܙܘܓܝܥܒܕܘ
ܠܝܕܘܟܬܐ,,ܠܝܕܘܟܬܐ,ܠܝܕܘܟܬܐ
ܡܛܫܝܬܐܬܚܝܬܐܪܥܐ܂ܒܝܬܐ,,ܟܣܝܬܐܬܚܝܬܐܪܥܐ,ܟܣܝܬܐܬܚܝܬܐܪܥܐ
ܕܐܘܪܟܗܐܪܒܥܣܪ̈ܐ,,ܕܐܘܪܟܗܐܪܒܥܣܪ̈ܐ,ܕܐܘܪܟܗܐܪܒܥܣܪ̈ܐ
ܐܡܝ̈ܢ܂,,ܐܡ̈ܝܢ܂,ܐܡ̈ܝܢ܂
ܘܦܬܝܗ,,ܘܦܬܝܗ̇,ܘܦܬܝܗ
ܐܡܝ̈ܢܫܒܥܐ܂,,ܫܒܥ܂ܘܗܝ,ܫܒܥ܂ܘܗܝ
ܬܚܝܬ,,ܬܚܝܬ,ܬܚܝܬ
ܐܣܟܘܦܬܐ,,ܐܣܟܘܦܬܐ,ܐܣܟܦܬܐ
ܕܒܝܬܝ܂,,ܕܬܪܥܐ܂,ܕܬܪܥܐ܂
ܘܐܥܠܘܢܝ,,ܘܐܥܠܘܢܝ,ܘܐܥܠܘܢܝ
ܠܬܡܢ,,ܘܛܫܝܘܢܝܒܗ܂,ܘܛܫܝܘܢܝܒܗ܂
ܘܣܡܘ,,ܘܣܡܘ,ܘܣܡܘ
ܠܝܠܚܡܐ,,,
ܘܡ̈ܝܐ,,,
ܠܘܬܝ,,ܠܘܬܝ,ܠܘܬܝ
ܘܫܒܩܘܢܝܟܕܛܡܝܪܐ̄ܢܐܬܚܝܬܐܪܥܐܘܢܦܩܘ܂ܘܥܒܕܡܕܡܕܡ̣ܢܠܥܠܐܡܝܪ܂ܘܐܘܕܥܘܠܡܠܟܐ,,ܠܚܡܐ,ܠܚܡܐ
,,ܘܡ̈ܝܐ,
,,,ܘܡܝ̈ܐ
,,ܘܟܢܫܒܩܘܢܝܘܐܙܠܘܐܘܕܥܘܠܡܠܟܐ܂,ܘܟܢܫܒܩܘܢܝܘܐܙܠܘܐܘܕܥܘܠܡܠܟܐ܂
ܕܐܬܩܛܠܐܚܝܩܪܐܝܟܦܘܩܕܢܟ܂ܘܟܕ,,ܕܐܬܩܛܠܐܚܝܩܪܐܝܟܦܘܩܕܢܟ܂ܘܟܕ,ܕܐܬܩܛܠܐܚܝܩܪܐܝܟܦܘܩܕܢܟ܂ܘܟܕ
ܢܦܩ̣,,ܢܦܩ,ܢܦܩ
ܛܒܐ,,ܛܒܐ,ܛܒܐ
ܕܩܛܠܝ,,,
ܒܐܬܘܪ,,ܒܐܬܘܪ,ܒܐܬܘܪ
ܘܢܝܢܘܐܐܪܩܕܘܥܠܝܘܒܟܘܘܐܡܪܘܘܝܠܢܥܠܝܟܐܘ̇ܐܚܝܩܪ܂ܟܬܘܒܐ,,ܘܢܝܢ̈ܘܐ܂,ܘܢܝܢܘܐ܂
,,ܐܝܠܠܘܥܠܝܘܐܡܪܘ܂ܚܒܠܝܟܐܚܝܩܪܣܦܪܐ,ܐܝܠܠܘܥܠܝܘܐܡܪܘ܂ܚܒܠܝܟܐܚܝܩܪܣܦܪܐ
ܡܗܝܪܐ,,ܡܗܝܪܐ,ܡܗܝܪܐ
ܘܚܟܝܡܐܛܪܩܐ܂ܘܫܪܐܐܘܚ̈ܕܢ܂ܘܝܠܢܥܠܝܟܡ̣ܢܐܝܟܐܠܢܐ̄ܚܪܢܐܐܟܘܬܟܕܢܩܘܡܒܕܘܟܬܟ܂ܒܬܪܗܠܝܢܩܪܐܡܠܟܐܠܢܐܕܢܘܐܡܪܠܗܙܠ,,ܘܝܕܥ,ܘܝܕܥ
,,ܟܣܝ̈ܬܐ܂,ܟܣܝܬ̈ܐ܂
,,ܡܢܘܢܩܘܡܐܟܘܬܟ܂,ܡܢܘܢܩܘܡܐܟܘܬܟ܂
,,ܗ̇ܝܕܝܢ,ܗܝܕܝܢ
,,ܩܪܐܡܠܟܐܣܪܚܕܘܡܠܢܕܢܘܐܡܪܠܗ܂ܙܠܠܟܘܥܒܕܒܝܬܒܟܬܐܠܐܒܘܟܐܚܝܩܪܐܝܟܥܝܕܐ,ܩܪܐܡܠܟܐܣܪܚܕܘܡܠܢܕܢܘܐܡܪܠܗ܂ܙܠܠܟܘܥܒܕܒܝܬܒܟܬܐܠܐܒܘܟܐܚܝܩܪܐܝܟܥܝܕܐ
,,ܕܐܢ̈ܫܐ܂ܘܢܦ̣ܩ,ܕܑ̄ܢܫ̈ܐ܂ܘܢܦܩ
,,ܢܕܢܘܐܬܐܠܒܝܬܐܘܠܐܣܟ,ܢܕܢܘܐܬܐܠܒܝܬܐܘܠܐܣܟ
ܥܒܕܒܝܬ,,ܥܒܕܒܝܬ,ܥܒܕܒܝܬ
ܒܟ̈ܐܕܚܠܟܘܒܟܝܥܠܘܗܝ܂ܘܟܕܐܬܐܢܐܕܢܣܟܠܐܘܩܫܐܠܒܐ܂ܠܐܒܟܐܘܐܦܠܐܐܝܬܝܕܘܟܪܢܝܥܠܦܘܡܗ܂,,ܒܟܬܐ܂,ܒܟܬܐ܁
ܐܠܐܟܢܫܠܗ,,ܐܠܐܟܢܫܠܗ,ܐܠܐܟܢܫܠܗ
ܐ̄ܢܫܐܥܘ̈ܠܐܘܓܝܪ̈ܐ,,ܐ̄ܢܫ̈ܐܒܝܫ̈ܐܘܐܣܘ̈ܛܐ܂,ܐ̄ܢܫ̈ܐܒܝܫ̈ܐܘܐܣܘ̈ܛܐ܂
ܘܫܪܝܘܐܟܠܝܢ,,ܘܫܪܝܘܐܟܠܝܢ,ܘܫܪܝܘܐܟܠܝܢ
,,,ܐܟܠ
ܘܫܬܝܢ,,ܘܫܬܝܢ,ܘܫܬܝܢ
ܘܪܩܕܝܢ܂,,ܘܪܩܕܝܢܘܙܡܪܝܢ܂,ܘܪܩܕܝܢܘܙܡܪܝܢ܂
ܘܫܪܝ,,ܘܫܪܝ,ܘܫܪܝ
ܢܐܕܢܡܚܐܥܒܕܝ̈ܘܐܡ̈ܗܬܝܘܡܫܠܚܠܗܘܢܥܪ̈ܛܠܝܐ܂ܘܐܦܠܐܡ̣ܢܐܢَܬܬܝ,,ܢܕܢܐܚܕ,ܢܕܢܐܚܕ
,,ܐܡܗ̈ܬܝ,ܐܡܗܬ̈ܝ
,,ܘܡܥܪܛܠ,ܘܡܥܪܛܠ
,,ܠܗܘܢ,ܠܗܝܢ
,,ܘܬܒܥ,ܘܬܒܥ
,,ܡܢܗܘܢܒܝܫ̈ܬܐ܂,ܡܢܗܝܢܒܝܫܬ̈ܐ܂
,,ܥܕܡܐܠܒܪܬܙܘܓܝܕܪܒܝܬܗܐܝܟܝܠܕܗ̇ܠܐ,ܥܕܡܐܠܒܪܬܙܘܓܝܕܪܒܝܬܗܐܝܟܝܠܕܗ̇ܠܐ
ܒܗܬ,,ܒܗܬ,ܒܗܬ
ܗܝܕܐܝܟܒܪܗܕܒܝܬܗ܂,,ܡܢܗ̇܂,ܡܢܗ܆
ܐܠܐܨܒܐ,,ܐܠܐܨܒܐ,ܐܠܐܨܒܐ
ܕܢܦܪܣܝܗ܂_ܘܐܢܐܛܠܝܡܐܫܡܥܢܐܡܘܪ̈ܡܪܐܕܝܠܗܘܢܘܒܟܐܐ̄ܢܐܒܚܫܐ܂ܘܒܬܪ,,ܕܢܦܪܣܝܗܘܢܕܡܟܥܡܗ̇܂ܐܢܐܐܚܝܩܪܡ̣ܢܬܚܝܬܐܪܥܐܫܡܥܬܩܠܓܥܬܗܘܢܕܒܢܝ̈ܒܝܬܐܡ̣ܢܩܕܡܢܕܢܒܪܝ܂ܘܫܪܝܬܠܡܨܠܝܘܩܕܡܐܠܗܐܘܠܡܬܟܫܦܘܡܛܠܬܗܘܢ܂ܘܫܡܥܐܠܗܐ,ܕܢܦܪܣܝܗܘܢܕܡܟܥܡܗ̇܂ܐܢܐܐܚܝܩܪܡ̣ܢܬܚܝܬܐܪܥܐܫܡܥܬܩܠܓܥܬܗܘܢܕܒܢܝ̈ܒܝܬܐܡ̣ܢܩܕܡܢܕܢܒܪܝ܂ܘܫܪܝܬܠܡܨܠܝܘܩܕܡܐܠܗܐܘܠܡܬܟܫܦܘܡܛܠܬܗܘܢ܂ܘܫܡܥܐܠܗܐ
,,ܬܢܚ̈ܬܝ,ܬܢܚܬ̈ܝ
,,ܕܡ̣ܢܥܘܡܩܝ̈ܗܕܐܪܥܐ܂ܘܫܕܪܒܬܪ,ܕܡ̣ܢܥܘܡܩܝ̈ܗܕܐܪܥܐ܂ܘܫܕܪܒܬܪ
ܩܠܝܠܝܘ̈ܡܬܐ,,ܩܠܝܠܝܘ̈ܡܬܐ,ܩܠܝܠܝܘ̈ܡܬܐ
ܐܬܐ,,ܠܝܒܘܣܡܟܡܣܟܝܢܟܬܝunclear,ܠܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ
ܠܘܬܝ,,ܠܘܬܝ,ܠܘܬܝ
ܝܒܘܣܡܝܟܘܫܐܠܒܫܠܡܝ܆,,ܘܒܝܐܢܝ,ܘܒܝܐܢܝ
ܘܡܠܐ,,ܘܡܠܐ,ܘܡܠܐ
ܒܠܒܝ܆,,ܒܠܒܝ܂,ܒܠܒܝ܂
ܘܐܝܬܝܠܝܠܚܡܐ,,ܘܐܝܬܝܠܝܠܚܡܐ,ܘܐܝܬܝܠܝܠܚܡܐ
ܘܡ̈ܝܐ܂,,ܘܡܝ̈ܐ܂,ܘܡܝ̈ܐ܂
ܘܟܕ,,ܘܟܕ,ܘܟܕ
ܢܦܩܐܡܪܬܠܗܒܥܘܐܦܡ̣ܢܐܠܗ̈ܐܕܐܓܗܐܘܐܦܘܩ,,ܒܥܐܠܡܐܙܠܐܦܝܣܬܗܕܢܨܠܐܠܐܠܗܐܕܢܦܪܩܢܝ,ܒܥܐܠܡܐܙܠܐܦܝܣܬܗܕܢܨܠܐܠܐܠܗܐܕܢܦܪܩܢܝ
ܡ̣ܢܕܘܟܬܐܗܕܐ܂,,ܡ̣ܢܕܘܟܬܐܗܕܐ܂,ܡ̣ܢܕܘܟܬܐܗܕܐ܂
ܦܢܝܐܠܗ̈ܐܡܦܨܝܢܠܟ܂ܘܒܬܪܟܢ,,ܘܨܠܝܘܐܡܪ܂ܐܘܐܠܗܐܡܪܚܡܢܐܘܡܫܒܚܐ܂ܐܬܕܟܪܠܐܚܝܩܪܕܡܣܒܪ,ܘܨܠܝܘܐܡܪ܂ܐܘܐܠܗܐܡܪܚܡܢܐܘܡܫܒܚܐ܂ܐܬܕܟܪܠܐܚܝܩܪܕܡܣܒܪ
,,ܕܡܣܒܪ,
,,ܒܟܘܦܨܝܗܝܡ̣ܢܗܢܐܚܒܘܫܝܐ܂ܟܕܕܝܢ,ܒܟܘܦܨܝܗܝܡ̣ܢܗܢܐܚܒܘܫܝܐ܂ܟܕܕܝܢ
ܫܡܥ,,ܫܡܥ,ܫܡܥ
ܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢ,,ܦܪܥܘܢ,ܦܪܥܘܢ
ܕܐܬܩܛܠܐܚܝܩܪ,,ܕܐܬܩܛܠܐܚܝܩܪ,ܕܐܬܩܛܠܐܚܝܩܪ
ܚܟܝܡܐܛܪܩܐ܂ܘܫܪܐܐܘܚ̈ܕܢܚܕܝ,,ܚܟܝܡܐ܂,ܚܟܝܡܐ܂
ܚܕܘܬܐ,,ܚܕܘܬܐ,ܚܕܘܬܐ
ܪܒܬܐ܂,,ܪܒܬܐܚܕܝ܂,ܪܒܬܐܚܕܝ܂
ܘܟܬܒ,,ܘܟܬܒ,ܘܟܬܒ
ܐܓܪܬܐ,,ܐܓܪܬܐ,܇ܐܓܪܬܐ܇
ܘܫܕܪܘܐܡܪ܂,,ܘܫܕܪܘܐܡܪ܂,ܘܫܕܪܘܐܡܪ܂
ܡ̣ܢ,,ܡ̣ܢ,ܡܢ
ܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢ܂ܠܣܢܚܪܝܒܡܠܟܐܬܘܪܘܢܝܢܘܐܫܠܡ̈ܐܘܪܘܡܪ̈ܡܐ܂ܬܗܘܐ,,ܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܠܣܪܚܕܘܡܡܠܟܐܕܐܬܘܪ,ܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܠܣܪܚܕܘܡܡܠܟܐܕܐܬܘܪ
,,ܘܢܝܢ̈ܘܐ܂ܫܠܡܐ,ܘܢܝܢܘܐ܂
,,ܘܢܝܚܐ܂ܗܘܝܬ,ܘܢܝܚܐ܂ܗܘܝܬ
ܝܕܥܐܘܡܠܟܐ,,ܝܕܥܐܘܡܠܟܐ,ܝܕܥܐܘܡܠܟܐ
ܡܝܩܪܐܐܬܕܓܪܓܬ,,ܕܐܬܪܓܪܓܬ,ܕܐܬܪܓܪܓܬ
ܕܐܒܢܐܠܝܒܝܪܬܐܒܝܬܫܡܝܐܠܐܪܥܐ܂,,ܕܐܒܢܐܠܝܒܝܪܬܐܒܝܬܫܡܝܐܠܐܪܥܐ܂,ܕܐܒܢܐܠܝܒܝܪܬܐܒܝܬܫܡܝܐܠܐܪܥܐ܂
ܘܒܥܐ,,ܘܨܒܐ,ܘܨܒܐ
ܐ̄ܢܐ,,ܐܢܐ,ܐ̄ܢܐ
,,ܓܝܪ,ܓܝܪ
ܕܬܫܕܪܠܝܡ̣ܢ,,ܕܬܫܕܪܠܝܡ̣ܢ,ܕܬܫܕܪܠܝܡ̣ܢ
ܠܘܬܟܐܪܕܟܠܐܕܝܕܥܒܢܐܒܝܪܬܐܐܝܟܕܒܥܬܘܢܕܥ,,ܨܐܕܝܟܓܒܪܐܒܢܝܐܕܢܒܢܝܗ̇ܐܟܡܐܕܨܒܐܐ̄ܢܐ܂ܘܕܢܕܥ,ܨܐܕܝܟܓܒܪܐܒܢܝܐܕܢܒܢܝܗ̇ܐܟܡܐܕܨܒܐܐ̄ܢܐ܂ܘܕܢܕܥ
ܢܓܝܒܢܝܥܠܟܠ,,ܢܓܝܒܢܝܥܠܟܠ,ܢܓܝܒܢܝܥܠܟܠ
ܫܘܐܠܐܕܡܫܐܠܢܐܠܗ܂,,ܫܘܐܠܐ܂ܘܐܢܬܫܟܚܬܫܕܪܠܝܓܒܪܐܗܟܢܐ܂,ܫܘܐܠܐ܂ܘܐܢܬܫܟܚܬܫܕܪܠܝܓܒܪܐܗܟܢܐ܂
,,ܫܩܠܐ,ܫܩܠܝܗ
,,ܕܡܨܪܝܢܘܟܠܗܘܢܐܬܪ̈ܘܬܗ̇ܕܬܠܬܫܢܝ̈ܢܡܫܕܪܐ̄ܢܐܠܟ܂,ܕܡܨܪܝܢܘܟܠܗܘܢܐܬܪ̈ܘܬܗ̇ܕܬܠܬܫܢܝ̈ܢܡܫܕܪܐ̄ܢܐܠܟ܂
ܘܐܢ,,ܘܐܢ,ܘܐܢ
ܫܕܪܬܓܒܪܐܕܢܒܢܐܒܝܪܬܐܘܢܥܒܕܗܘܡܐܕܐܡܪܠܗ܂ܢܫܬܕܪܠܟܫܩܠܐܕܡܨܪܝܢܘܟܠܗܐܘܚܕܢܐܕܝܠܗ̇ܥܕܡܐܠܬܠܬܫܢ̈ܝܢ܂ܘܐܠܐ,,ܠܐ,ܠܐ
,,ܡܫܬܟܚ,
,,ܗܟܢ,ܗܟܢ
,,ܓܒܪܐ܂,ܓܒܪܐ܇
ܫܕܪ,,ܫܕܪ,ܫܕܪ
ܠܢ,,,
ܥܡ,,ܥܡ,ܥܡ
ܐܓܪܬܢܫܩ̈ܠܐ,,ܐܝܙܓܕܢܕܠܘܬܟܫܩܠܐܕܬܠܬ,ܐܝܙܓܕܢܕܠܘܬܟܫܩܠܐܕܬܠܬ
ܕܐܬܘܪ,,,
,,ܫܢ̈ܝܢ,ܫܢ̈ܝܢ
,,ܕܐܬܘܪ,ܕܐܬܘܪ
ܘܢܝܢܘܐܬܠܬ,,,
ܫܢ̈ܝܢ,,,
,,ܘܢܝܢ̈ܘܐ܀,ܘܢܝܢܘܐ܂܂
ܘܟܕܡܛܬ,,ܟܕܕܝܢܩܪܐܡܠܟܐܣܪܚܕܘܡ,ܟܕܕܝܢܩܪܐܡܠܟܐܣܪܚܕܘܡ
ܐܓܪܬܐ,,ܐܓܪܬܐ,ܐܓܪܬܐ
ܘܩܪܐܘܗ̇ܩܕܡܡܠܟܐܣܢܚܪܝܒ܂ܩܪܐ,,ܗܕܐ܂ܟܢܫ,ܗܕܐ܂ܟܢܫ
ܠܟܠܗܘܢ,,ܠܟܠܗܘܢ,ܠܟܠܗܘܢ
ܚܐܪ̈ܘܗܝ,,ܚܐܪ̈ܐ,ܚܐܪ̈ܐ
ܘܚܟܝ̈ܡܐ,,ܘܚܟܝ̈ܡܐ,ܘܚܟܝܡ̈ܐ
ܘܦܝܠܣܘܦ̈ܐ,,ܘܦܝܠܣܘ̈ܦܐ,ܘܦܝܠܣܘܦ̈ܐ
ܘܝܕܘܥ̈ܐ,,,
ܘܚܪ̈ܫܐ,,ܘܚܪ̈ܫܐ,ܘܚܪ̈ܫܐ
ܕܐܝܬܒܡܠܟܘܬܗ܂ܘܩܪܐܠܗܘܢܐܓܪܬܐ,,ܘܟܠܕ̈ܝܐ܂,ܘܟܠܕܝܐ܂
ܘܐܡܪܠܗܘܢ܂,,ܘܐܡܪܠܗܘܢ܂,ܘܐܡܪܠܗܘܢ܂
ܡܢ̣ܘܡܢܟܘ̇ܢܡܨܐܕܢܐܙܠܠܡܨܪܝܢܘܢܦܢܐܦܬܓܡܐܠܦܪܥܘܢ܂ܦܢܝܘܟܠܗܘܢܘܐܡܪܘ܂,,ܡܢܘܡܢܟܘܢ,ܡܢܘܡܢܟܘܢ
,,ܕܡܫܟܚ,ܡܫܟܚ
,,ܢܐܙܠܘܢܓܝܒܠܦܪܥܘܢܡܠܟܐ܂ܘܥܢܘܘܐܡܪܘ,ܢܐܙܠܘܢܓܝܒܠܦܪܥܘܢܡܠܟܐ܂ܘܥܢܘܘܐܡܪܘ
,,ܠܡܠܟ̇ܐܣܪܚܕܘܡ܂,ܠܡܠܟܐܣܪܚܕܘܡ܆
,,ܒܫܪܪܐ,ܒܫܪܪܐ
ܢܕܥܡܪܢܡܠܟܐܕܗܠܝܢ,,ܢܕܥܡܪܢܡܠܟܐܕܗܠܝܢ,ܢܕܥܡܪܢܡܠܟܐܕܗܠܝܢ
ܫ̈ܘܐܠܐܘܐܘܚ̈ܕܬܐܠܝܬܒܢܐ̄ܢܫܕܢܕܠܐܢܝܢ܂ܐܠܐܐܚܝܩܪܗܘ̇,,ܫܘ̈ܐܠܐܘܣܥ̈ܝܐ,ܫܘܐܠ̈ܐܘܣܥܝ̈ܐ
,,ܕܐܚܝܩܪ,ܕܐܚܝܩܪ
ܚܟܝܡܐ,,ܚܟܝܡܐ,ܚܟܝܡܐ
ܛܪܩܐܗܘ̤ܡܨܐܗ̄ܘܐܐܢܘܢ܂ܐܠܐܐܝܬ݂ܠܟܢܐܕܢܒܪܚܬܗܕܗܘ̤ܐܠܦܗܝܘܠܦܢܗܘܚܟܡܬܗܟܒܪܡܫܟܚܕܢܕܥܗܘܡܐܕܒܐܓܪܬܐ܂ܗܝܕܝܢܩܪܐܡܠܟܐܠܢܐܕܢܘܐܬܛܝܒܘܩܪܗ̇,,ܐܝܬܝܗܘܢ܂ܚܙܝܡܢܘܕܩܐܡܒܕܘܟܬܗܩܪܝܘܗܝܘܫܐܠܝܗܝ܂ܗܝܕܝܢܩܪܐܡܠܟܐܠܢܕܢܘܐܘܫܛܗ,ܐܝܬܝܗܘܢ܂ܚܙܝܡܢܘܕܩܐܡܒܕܘܟܬܗܩܪܝܘܗܝܘܫܐܠܝܗܝ܂ܗܝܕܝܢܩܪܐܡܠܟܐܠܢܕܢܘܐܘܫܛܗ
ܠܐܓܪܬܐ,,ܠܐܓܪܬܐ,ܠܐܓܪܬܐ
ܩܕܡܘܗܝ܂ܦܢܝܢܐܕܢܘܐܡܪܐܘܡܪܝܡܠܟܐܚܙܐܐܢَܬܕܗܠܝܢܐ̄ܢܫܐܫܛܘܪ̈ܐܐܢܘܢܘܫܢ̈ܝܐ܂,,ܗܝ܂ܘܥܢܐܢܕܢ,ܗܝ܂ܘܥܢܐܢܕܢ
,,ܘܐܡ̣ܪ,ܘܐܡܪ
,,ܠܣܪܚܕܘܡ܂ܐܘܡܪܝܡܠܟܐ܂ܡܛܥܐܛܥܐܡܠܟܐܦܪܥܘܢ܂,ܠܣܪܚܕܘܡ܂ܐܘܡܪܝܡܠܟܐ܂ܡܛܥܐܛܥܐܡܠܟܐܦܪܥܘܢ܂
ܡܢܘܡܨܐ,,ܡܢܘܡܨܐ,ܡܢܘܡܨܐ
ܒܢܐܒܝܪܬܐ,,ܠܡܒܢܐܒܢܝܢܐ,ܠܡܒܢܐܒܢܝܢܐ
ܒܝܬ,,ܒܝܬ,
ܫܡܝܐ,,ܫܡܝܐ,ܫܡܝܐ
ܠܐܪܥܐܘܐܦܠܐܐܠܗ̈ܐ܂ܕܬܗܠܠܬܐܐܝܬܝܗ̇ܓܝܪܐܓܪܬܐ܂_ܘܟܕܫܡܥܗܠܝܢܡܠܟܐܡ̣ܢܢܐܕܢܚܫܣܓܝܘܒܟܐ,,ܠܐܪܥܐ܂ܐܦܠܐܐܠܗ̈ܐܡܨܝܢ܂ܟܒܪܫܓܡܐܗ̣̄ܝܕܟܬܘܒܐ܂ܘܟܕܫܡܥܡܠܟܐ,ܠܐܪܥܐ܂ܐܦܠܐܐܠܗ̈ܐܡܨܝܢ܂ܟܒܪܫܓܡܐܗ̣̄ܝܕܟܬܘܒܐ܂ܘܟܕܫܡܥܡܠܟܐ
,,ܡ̈ܠܝ,ܡܠܝ̈
,,ܢܕܢܚܫܣܓܝ,ܢܕܢܚܫܣܓܝ
ܘܢܚܬ,,ܘܢܚܬ,ܘܢܚܬ
ܡ̣ܢܒܝܡܗ,,ܘܡܢ,ܡܢ
,,ܟܘܪܣܝܗ,ܟܘܪܣܝܗ
ܘܝܬܒܥܠ,,ܘܝܬܒܥܠ,ܘܝܬܒܥܠ
ܐܪܥܐ܂ܘܐܡ̣ܪܘܝܠܝܥܠܝܟܐܘ,,ܩܛܡܐܘܐܡܪ܂,ܩܛܡܐܘܐܡܪ܂
,,ܚܒ̈ܠܝܟ,ܚܒܠܝܟ̈
ܐܚܝܩܪܚܟܝܡܐ,,ܐܚܝܩܪܚܟܝܡܐ,ܐܚܝܩܪܚܟܝܡܐ
ܡܗܝܪܐ܂,,,
ܘܝܕܥ,,ܘܝܕܥ,ܘܝܕܥ
