430,syr. 434,syr. 611,syr. 612
ܐ̄ܪ̈ܙܐܘܫܪܐܐܘ̈ܚܕܢ܂ܘܝܠܝܥܠܝܟܐܘ̇ܡܠܦܢܐܘܚܕܢܘܡܕܒܪܢܡܠܟܘܬܝ܆ܐܝܟܐܐܚܙܝܟܐܘܛܪܩܐ܂ܐܘܐܝܟܐܐܒܥܝܟ܂ܘܝ,,ܟܣ̈ܝܬܐ,ܟܣܝܬ̈ܐ܇
,,ܡܢܘܢܣܒܪܢܝܘܢܐܡܪ,ܡܢܘܢܣܒܪܢܝܘܢܐܡܪ
ܠܝ,,ܠܝ,ܠܝ
ܥܠܝܟܐܝܟܢܐܐܡܬܬܟܘܚܒܠܬܪܘܟܒܟܒܡܠܬܐܕܥܠܝܡܐܣܟܠܐܘܕܠܐܐܠܗ܂ܡܢ̣ܘܢܬܠܟܘܢܣܒܪܢܝܕܐܚܝܩܪܒܚܝ̈ܐܐܝܬܘܗܝ܂ܝܗܒܗ̄ܘܝܬܠܗܦܠܓܗܕܡܠܟܘܬܝ܂ܘܟܕܫܡܥܝܒܘܣܡܝܟܗܠܝܢܡ̣ܢܡܠܟܐܘܚܙܐܟܪܝܘܬܐܕܐܫܬܠܛܬܥܠܘܗܝ܂ܩܡܩܕܡܘܗܝܘܐܘܕܝܒܣܘܪܚܢܐܘܐܡܪܡܪܝܡܠܟܐܐܢܐܕܫܬܦܘܩܕܢܟ܂ܘܟܠܥܒܕܐܕܫܪܐܦܘܩܕܢܡܪܗܠܡܘܬܐܡܚܝܒ܂ܘܐܢܕܝܢܬܨܒܐܙܩܘܦܝܢܝܡܛܠܕܫܪܬܦܘܩܕܢܟ܂ܒܕܝܕܥܬܕܛܠܝܡܐܚܝܩܪܘܗܐܡܛܫܝܘܢܛܝܪ܂ܘܟܕܫܡܥܡܠܟܐܡܐܡܪܝܚܕܝܚܕܘܬܐܪܒܬܐ܆ܘܐܡܪܐܝܘܥܒܕܐܛܒܐ܂ܐܢܗܘܕܒܫܪܪܐܐܝܬܝܗ̇ܡܠܬܟܐܢܐܡܥܬܪܐ̄ܢܐܠܟ܂ܘܐܢܕܝܢܐܚܙܐܐܚܝܩܪܒܚܝ̈ܐܡܐܐܟܟܪ̈ܐܕܕܗܒܐܘܦܠܓܗܕܡܠܟܘܬܝܐܬܠܠܟ܂,,ܕܗܐܐܚܝܩܪ,ܕܗܐܐܚܝܩܪ
,,ܒܚ̈ܝܐ܂,ܒܚܝ̈ܐ
,,ܝܗܒܗ̄ܘܝܬܠܡܣܒܪܢܐܦܠܓܗ̇ܕܟܠܗ̇ܡܠܟܘܬܝ܂,ܝܗܒܗ̄ܘܝܬܠܡܣܒܪܢܐܦܠܓܗ̇ܕܟܠܗ̇ܡܠܟܘܬܝ܂
ܗܝܕܝܢ,,ܗ̇ܝܕܝܢܫܡܥܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ,ܗܝܕܝܢ
ܝܒܘܣܡܝܟܐܡܪܠܐܬܬܟܪܣܘܪܚܢܝ܂ܗܝܕܝܢܝܡܐܡܠܟܐܕܠܐܢܚܫܘܒ,,,ܫܡܥܠܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ܂
,,ܩܠܡܡܠܠܗܕܡܠܟܐܘܩܪܒܩܕܡܘܗܝܘܣܓܕ,ܩܠܡܡܠܠܗܕܡܠܟܐܘܩܪܒܩܕܡܘܗܝܘܣܓܕ
ܠܗ,,,
,,ܠܗ,ܠܗ
ܚܛܝܬܐ܂ܘܒܗܝܫܥܬܐܪܟܒܝܒܘܣܡܝܟܘܐܬܐܠܘܬܝܘܦܬܚܬܪܥܐܘܐܦܩܢܝ܂ܘܐܢܐܬܘܟܠܢܝܒܐܠܗܐܡܚܙܩܗ̄ܘ̣ܐ܂ܘܐܝܬܝܢܝܠܘܬܡܠܟܐ܂ܘܟܕܐܬܛܝܒܬܩܕܡܘܗܝܣܓܕܬܠܗܥܠܐܪܥܐ܂ܘܣܥܪܐܕܪܫܝܐܪܝܟܗ̄ܘܐܘܢܚܬܥܠܚܨܝ܂ܘܕܩܢܝܢܚܬܗ̄ܘܐ,,,
,,ܘܐܡܪ܂ܡܪܝܡܠܟܐܠܥܠܡ,ܘܐܡܪ܂ܡܪܝܡܠܟܐܠܥܠܡ
,,ܚܝ܂,ܚܝܝ܂
,,ܗܐܗܟܝܠܐܚܝܩܪܒܚܝ̈ܐܘܡܛܫܝܬܚܝܬ,ܗܐܗܟܝܠܐܚܝܩܪܒܚܝ̈ܐܘܡܛܫܝܬܚܝܬ
,,ܐܪܥܐ,ܐܪܥܐ܁ܘܐܩܝܡܗܩܕܡܡܠܟܐܡܢܒܬܪܕܣܓܕܘܬܪ̈ܝܗܘܢ܂ܗܝܕܝܢܟܕܐܬܒܩܝܒܐܚܝܩܪ
,,ܠܐ,ܠܐ
,,ܬܒܟܐ܂,ܬܒܟܐ܇
,,ܦܩܘܕܕܢܐܬܐܩܕܡܝܟ܂ܟܕܕܝܢܫܡܥܡܠܟܐܒܥܓܠܩܡܡܢܩܛܡܐܘܣܠܩ,ܦܩܘܕܕܢܐܬܐܩܕܡܝܟ܂ܟܕܕܝܢܫܡܥܡܠܟܐܒܥܓܠܩܡܡܢܩܛܡܐܘܣܠܩ
ܥܠ,,ܥܠ,ܥܠ
ܚܕܝ܂ܘܛܦܪ̈ܝܗܘ̤ܝܐܝܟܕܢܫܪ̈ܐ܂ܘܓܘܫܡܝܐܬܚܒܠܗ̄ܘܐ܂ܘܫܝܘܬܐܕܦܪܨܘܦܝܕܡܝܐܗ̄ܘܬܠܩܛܡܐ܂ܘܟܕܚܙܢܝܡܠܟܐܘܚܪܐܪܝܟܐܝܬܕܐܝܟܢܐܗ̄ܘܝܬ܂ܚܫܣܓܝܘܐܬܟܚܕܡܢܝ܂ܘܠܐܐܬܡܨܝܕܢܡܠܠܥܡܝܡܠܬܐܡܕܡ,,ܟܘܪܣܝܐ܂ܘܦܩܕܠܡܝܬܝܘܬܗ,ܟܘܪܣܝܐ܂ܘܦܩܕܠܡܝܬܝܘܬܗ
,,,ܘܦܩܕܠܡܝܬܝܘܬܗ
,,ܠܐܚܝܩܪ,ܠܐܚܝܩܪ
ܡ̣ܢ,,ܡ̣ܢ,ܡ̣ܢ
ܒܟܝܐ܂ܘܐܡܪܠܝ,,ܟܕܕܐܝܬܘܗܝ܂ܘܐܙܠ,ܟܕܕܐܝܬܘܗܝ܂ܘܐܙܠ
,,ܝܒܘܣܡܝ܏ܟܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ,ܠܝܒܘ܏ܣ܆ܠܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ܆
,,ܘܐܦܩܗܡܢܬܚܝܬܐܪܥܐ܂,ܘܐܦܩܗܡܢܬܚܝܬܐܪܥܐ܂
,,ܘܐܩܝܡܗܩܕܡܡܠܟܐܡܢܒܬܪܕܣܓܕܘܬܪ̈ܝܗܘܢ܂ܗܝܕܝܢܟܕܐܬܒܩܝܒܐܚܝܩܪܡܠܟܐܣܪܚܕܘܡ܂,ܘܐܩܝܡܗܩܕܡܡܠܟܐܡܢܒܬܪܕܣܓܕܬܪ̈ܝܗܘܢ܂ܗܝܕܝܢܟܕܐܬܒܩܝܒܐܚܝܩܪܡܠܟܐܣܪܚ܏ܕ܆ܣܪܚܕܘܡ܆
,,ܘܚܙܐ,ܘܚܙܐ
,,ܕܐܫܬܚܠܦܘ,ܕܐܫܬܚܠܦ
,,ܨܘܪ̈ܬܗܘܐܬܒܠܒܠ,ܨܘܪ̈ܬܗܘܐܬܒܠܒܠ
,,ܟܠܗ,ܟܠ̱ܗ
,,ܓܘܫܡܗ܂ܗܝܕܝܢܟܕ,ܓܘܫܡܗ܂ܗܝܕܝܢܟܕ
,,ܒܗ̇ܟܢ,ܒܗܟܢ
,,ܓܘܢܐܚܙܝܗܝܡܠܟܐܚܢܓܬܠܗܘܒܟܐܘܐܡܪ܂,ܓܘܢܐܚܙܝܗܝܡܠܟܐܚܢܓܬܠܗܘܒܟܐܘܐܡܪ܂
ܐܘܐܚܝܩܪܐܢܐ,,ܐܘܐܚܝܩܪܐܢܐ,ܐܘܐܚܝܩܪܐܢܐ
ܠܐܚܛܝܬܠܟ܂ܒܪܡܒܪܚܬܟܚܛܐܠܟ܂ܐܡܪܬܬܚܐܡܪܝܡܠܟܐܠܥܠܡܒܬܪܕܚܙܝܬܦܪܨܘܦܟܠܐܬܘܒܦܫܥܩܬܐܡܕܡ܂,,ܠܝܬܠܝܥܕܠܝܐܘܐܦܠܐ,ܠܝܬܠܝܥܕܠܝܐܘܐܦܠܐ
,,ܚܛܗܐ܁,ܚܛܗܐ܇
,,ܐܠܐܢܕܢܒܪܟܗܘܝܘܕܐܒܐܫܠܟ,ܐܠܐܢܕܢܒܪܟܗܘܝܘܕܐܒܐܫܠܟ
,,ܒܢܟܠܐ܂,ܒܢܟܠܐ
,,ܘܥܢܐܐܚܝܩܪܘܐܡܪܡܪܝܡܠܟܐܒܚܙܬܟܗܫܐܟܠܡܕܡܕܥܒܪܢܫܒܩܝܘܗܝܥܠܕܐܫܘܝܢܐܠܗܐܚܙܬܐܕܦܪܨܘܦܟܪܓܝܓܐ܂,ܘܥܢܐܐܚܝܩܪܘܐܡܪܡܪܝܡܠܟܐܒܚܙܬܟܗܫܐܟܠܡܕܡܕܥܒܪܢܫܒܩܝܘܗܝܥܠܕܐܫܘܝܢܐܠܗܐܚܙܬܐܕܦܪܨܘܦܟܪܓܝܓܐ܂
ܦܢܝܡܠܟܐܘܐܡܪܢܗܘܐ,,ܦܢܝܡܠܟܐܘܐܡܪܢܗܘܐ,ܦܢܝܡܠܟܐܘܐܡܪܢܗܘܐ
ܫܡܐܕܐܠܗ̈ܐܡܒܪܟ̣ܐܕܝܕܥܘܕܛܠܝܡܐܢ̄ܬܘܢܛܪܘܟ܂ܙܠ,,ܒܪܝܟܘܡܒܪܟܐܠܗܐܕܐܚܝܩܪܕܦܨܝܗ,ܒܪܝܟܘܡܒܪܟܐܠܗܐܕܐܚܝܩܪܕܦܨܝܗ
ܡ̣ܢ,,ܡ̣ܢ,ܡ̣ܢ
ܗܫܐܠܒܠܢܐ,,ܗܢܐܛܠܘܡܝܐ܂ܙܠܐܘܐܚܝܩܪܠܒܢܐ,ܗܢܐܛܠܘܡܝܐ܂ܙܠܐܘܐܚܝܩܪܠܒܢܐ
ܘܓܪܘܥ,,ܘܓܪܘܥ,ܘܓܪܘܥ
ܣܥܪܟܘܓܘܙܕܩܢܟܘܛܦܪ̈ܝܟܘܐܟܘܠ,,ܘܐܫܝܓܘܗܦܘܟܠܒܝܬܟܐܟܘܠ,ܘܐܫܝܓܘܗܦܘܟܠܒܝܬܟܐܟܘܠ
ܘܐܫܬܝ,,ܘܐܫܬܝ,
ܥܕܠܐܪܒܥܝܢܝܘܡܝ̈ܢ܂ܐܝܟܢܐܕܢܗܦܘܟܚܝܠܟܥܠܝܟ܂ܒܬܪܗܝܕܝܢܬܐܬܐܠܘܬܝ܂ܗܝܕܝܢܐܙܠ̄ܬܠܒܝܬܝܘܥܒܕܬܐܝܟܕܐܡ̣ܪܡܠܟܐܘܟܬܪܬܥܣܪܝܢ,,ܐܪܒܥܝܢܝܘܡ̈ܝܢ܂ܥܕܡܐܕܬܬܚܝܠ܂ܘܗܝܕܝܢܬܐܠܘܬܝ܂ܘܗܦܟܐܚܝܩܪܘܥܒܕܐܝܟܡܠܬܗܕܡܠܟܐ܂ܡܢܒܬܪ,ܐܪܒܥܝܢܝܘܡ̈ܝܢ܂ܥܕܡܐܕܬܬܚܝܠ܂ܘܗܝܕܝܢܬܐܠܘܬܝ܂ܘܗܦܟܐܚܝܩܪܘܥܒܕܐܝܟܡܠܬܗܕܡܠܟܐ܂ܡܢܒܬܪ
ܝܘܡ̈ܬܐ,,ܝܘܡ̈ܬܐ,ܝܘܡ̈ܬܐ
ܘܐܬܝܬܠܘܬܗܡܛܠܕܫܘܓܠܐܕܡܠܟܐܡܣܪܗܒܗ̄ܘܐ܂ܘܟܕܐܬܛܝܒܬܩܕܡܘܗܝ,,ܥܣ̇ܪܝܢܗܦܟܐܚܝܩܪܬܘܒܠܘܬ,ܥܣ̇ܪܝܢܗܦܟܐܚܝܩܪܬܘܒܠܘܬ
,,ܡܠܟܐ܁ܣܪܚܕܘܡ,ܡܠܟܐ܂ܣܪܚ܏ܕ܆ܣܪܚܕܘܡ܆
,,ܘܣܓܕܠܗܥܠܐܦܘ̈ܗܝ܂ܗܝܕܝܢܡܠܟܐ,ܘܣܓܕܠܗܥܠܐܦܘ̈ܗܝ܂ܗܝܕܝܢܡܠܟܐ
ܐܦܩ,,ܐܦܩ,ܐܦܩ
ܐܓܪܬܐܕܫܕܪܘܗܡܨܪ̈ܝܐ܂ܘܐܡܪܣܒܘܚܙܝܐܘܐܚܝܩܪܡܢܐܫܕܪܘܠܢܡܨܪ̈ܝܐܒܬܪܩܛܠܟ܂ܘܟܠܐ̄ܢܫܝ̈ܐܬܪ̈ܘܬܢܥܪܩܘܠܡܨܪܝܢܡ̣ܢܝܘܩܪܐܕܟܣܦܐܕܒܥܝܢ܂ܘܟܕܩܪܝܬ,,ܠܗ,ܠܗ
ܐܓܪܬܐ,,ܐܓܪܬܐ,ܐܓܪܬܐ
ܘܚܟܡܬܠܕܒܗ܂ܐܡܪܬܠܡܠܟܐܠܐܬܟܪܐܠܟܥܠܗܕܐܡܪܝܡܠܟܐ܂,,ܕܡܠܟܐܕܡܨܪܝܢܘܚܘܝܗ̇ܘܢܣܒܗ̇ܐܚܝܩܪܡܢܐܝ̈ܕܝܡܠܟܐܠܐܓܪܬܐܗܝܘܩܪܗ̇܂ܘܐܣܬܟܠܟܠܡܐܕܒܗ̇܂ܘܐܡܪܠܡܠܟܐ܂ܠܐܬܚܫܡܪܝܘܠܐܬܪܓܙ܂,ܕܡܠܟܐܕܡܨܪܝܢܘܚܘܝܗ̇ܘܢܣܒܗ̇ܐܚܝܩܪܡܢܐܝ̈ܕܝܡܠܟܐܠܐܓܪܬܐܗܝܘܩܪܗ̇܂ܘܐܣܬܟܠܟܠܡܐܕܒܗ̇܂ܘܐܡܪܠܡܠܟܐ܂ܠܐܬܚܫܡܪܝܘܠܐܬܪܓܙ܂
ܐܢܐܐܙܠ,,ܐܢܐܐܙܠ,ܐܢܐܐܙܠ
ܘܐܬܠܦܬܓܡܐ,,ܐ̄ܢܐܠܝܠܡܨܪܝܢ܂ܘܝܗܒܐ̄ܢܐܦܘܢܝܐ,ܐ̄ܢܐܠܝܠܡܨܪܝܢ܂ܘܝܗܒܐ̄ܢܐܦܘܢܝܐ
ܠܦܪܥܘܢ܂,,ܠܦܪܥܘܢ܂,ܠܦܪܥܘܢ܂
ܘܐܫܪܐܫܘܐܠܘ̈ܗܝܘܐܝܬܐܫܩ̈ܠܐܕܡܨܪܝܢܘܐܗܦܟܟܠܕܥܪܝܩܝܢܠܬܡܢ,,ܘܟܠܗܘܢܫܘܐܠܘܗ̈ܝܡܦܫܩܐ̄ܢܐܠܗܘܢ܂ܘܡܝܬܐܐ̄ܢܐܫܩܠܐܕܡܨܪܝܢܕܬܠܬ,ܘܟܠܗܘܢܫܘܐܠܘܗ̈ܝܡܦܫܩܐ̄ܢܐܠܗܘܢ܂ܘܡܝܬܐܐ̄ܢܐܫܩܠܐܕܡܨܪܝܢܕܬܠܬ
,,ܫܢܝ̈ܢ܂ܘܐܒ̣ܗܬ,ܫܢܝܢ܂
ܘܐܒܗܬ,,,ܘܐܒܗܬ
ܠܣܢܐܝ̈ܟ,,ܠܟܠܗܘܢܒܥܠܕܒܒܝ̈ܟ,ܠܟܠܗܘܢܒܥܠܕܒܒܝ̈ܟ
ܒܥܘܕܪܢ,,ܒܥܘܕܪܢ,ܒܥܘܕܪܢ
ܐܠܗ̈ܐܘܕܡܠܟܘܬܟ܂ܘܟܕ,,ܐܠܗܐ,
,,ܐܘܡܪܝ,ܐܘܡܪܝ
,,ܡܠܟܐ܁,ܡܠܟܐ܂
,,ܟܕ,ܟܕ
ܫܡܥ,,ܫܡܥ,ܫܡܥ
ܗܠܝܢܡܠܟܐܚܕܝܛܒ܂ܘܝܗ̄ܒܡܘ̈ܗܒܬܐܠܐܢ̄ܬܬܝ܂,,ܡܠܟܐܡ̈ܠܝ,ܡܠܝ̈ܡܠܟܐ
,,ܐܚܝܩܪܪܘܙܘܡܠܐܠܒܗܚܕܘܬܐ,ܐܚܝܩܪܪܘܙܘܡܠܐܠܒܗܚܕܘܬܐ
,,ܘܦܨܝܚܘܬܐ܂ܗ̇ܝܕܝܢ,ܘܦܨܝ܏ܚ܆ܘܦܨܝܚܘܬܐ܆ܗܝܕܝܢ
,,ܫܟܢܠܐܚܝܩܪܘܠܐܢ̄ܬܬܗܡܘܗ̈ܒܬܐ,ܫܟܢܠܐܚܝܩܪܘܠܐܢ̄ܬܬܗܡܘܗ̈ܒܬܐ
,,ܣܓܝܐܬ̈ܐ܂,ܣܓܝܐ̈ܬ̈ܐ܂
ܘܠܐܣܦܘܩܠܛܪܐ,,ܘܠܐܣܦܘܩܠܛܪܐ,ܘܠܐܣܦܘܩܠܛܪܐ
ܐܪܝܡܗܥܠܫܕܬܐܕܪܒܐܘܝܗ̄ܒܠܗܡܘܗ̈ܒܬܐ܂ܘܠܒܬܪܗ,,ܝܒܘܣܡܝܟ,ܠܝܒܘܣ܇ܠܝܒܘܣܡܝܟ܇
,,ܐܪܝܡܫܕܬܗܠܕܪܓܐܕܡܥܠܝ܂ܘܐܘܪܒܗܛܒܣܓܝ܂ܠܒܬܪܗ,ܐܪܝܡܫܕܬܗܠܕܪܓܐܕܡܥܠܝ܂ܘܐܘܪܒܗܛܒܣܓܝ܂ܠܒܬܪܗ
ܕܝܘܡܐ,,ܕܝܘܡܐ,ܕܝܘܡܐ
,,ܗܘ,ܗܘ
ܟܬܒܬܐܢܐܐܚܝܩܪܐܓܪܬܐ,,ܟܬܒܬܐܢܐܐܚܝܩܪܐܓܪܬܐ,ܟܬܒܬܐܢܐܐܚܝܩܪܐܓܪܬܐ
ܠܐܢ̄ܬܬܝ,,ܠܐܫܦܓܢܐܒܪܬ,ܠܐܫܦܓܢܐܒܪܬ
,,ܙܘܓܝ܂,ܙܘܓܝ܆
ܘܐܡܪܬ,,ܘܐܡܪܬ,ܘܐܡܪܬ
ܠܗܒܫܥܬܐܕܡܛܝܐܐܓܪܬܐܠܐܝܕܝ̈ܟܝܦܩܘܕܝܠܨܝܕ̈ܐ,,ܠܗ̇,ܠܗ̇
,,ܗܟܢܐ܂ܒܡܘܢܥ,ܗܟܢܐ܆ܒܡܘܢܥ܂
,,ܐܓܪܬܝܗܕܐ܂ܦܩܕܝܨܝ̈ܕܐ,ܐܓܪܬܝܗܕܐ܂ܦܩܕܝܨܝ̈ܕܐ
ܕܢܨܘܕܘܢ,,ܕܢܨܘܕܘܢ,ܕܢܨܘܕܘܢ
,,ܠܢ,ܠܢ
ܬܪܝܢܦܪ̈ܘܓܐ,,ܬܪܝܢܦܪ̈ܘܓܐ,ܬܪܝܢܦܪ̈ܘܓܐ
ܕܢܫܪ̈ܐ܂ܘܐܡܪܝܠܐܝܠܝܢܕܥܒܕܝܢܟܬܢ̈ܐܕܢܥܒܕܘܢ,,ܕܢܫܪܐ܂,ܕܢܫܪܐ܂
,,ܘܛܝܒܝ,ܘܛܝܒ
,,ܠܟܝ,ܠܟܝ
,,ܛܘܢ̈ܒܝ,ܛܘܢܒܝ̈
,,ܩܢܦܐ܂ܐܝܟܢܐܕܢܗܘܘܢܐܪ̈ܝܟܐ,ܩܢܦܐ܂ܐܝܟܢܐܕܢܗܘܘܢܐܪ̈ܝܟܐ
ܬܪܝܢ,,ܬܪܝܢ,ܬܪܝܢ
ܚܘ̈ܛܐܕܟܬܢܐܐܘܪܟܐܕܝܠܗܘ̇ܢܐܠܦܐܡ̈ܝܢ܂,,ܐܠܦܝܢ,ܐܠܦܝܢ
,,ܐܡܝ̈ܢ܂,ܐܡܝܢ܂
ܘܦܩܘܕܝܠܢܓܪ̈ܐܕܢܥܒܕܘܢ,,ܘܦܩܘܕܝܠܢܓܪ̈ܐܕܢܥܒܕܘܢ,ܘܦܩܘܕܝܠܢܓܪ̈ܐܕܢܥܒܕܘܢ
ܓܠܘܣܩ̈ܡܐܬܪܝܢ܂,,ܬܪܝܢܓܠܘܣܩܡ̈ܐ,ܬܪܝܢܓܠܘܣܩܡ̈ܐ
,,ܪܘܪ̈ܒܐ܁,ܪܘܪ̈ܒܐ܂
ܘܗܒܝܢܒܘܠܚܠ,,ܘܗܒܝܢܒܘܠܚܠ,ܘܗܒܝܢܒܘܠܚܠ
ܘܛܒܫܠܝܡܠܡܝܢܩܢ̈ܝܬܐ,,ܘܕܫܠܝܡ,ܘܕܫܠܝܡ
,,*,
,,ܠܢܫ̈ܐ,ܠܢܫ̈ܐ
,,ܡܝܢܩ̈ܢܝܬܐ܂ܕܢܝ̈ܢܩܢ,ܡܝܢܩܢ̈ܝܬܐ܂
ܕܢܝܢ̈ܩܢ,,,ܕܢܝܢ̈ܩܢ
ܐܢܘܢ܂,,ܐܢܘܢ܂,ܐܢܘܢ܂
ܘܟܠܝܘܡܟܘܣܝ,,ܘܟܠܝܘܡ,ܘܟܠܝܘܡ
ܚܕ,,,
ܐܡܪܐ,,ܐܡܪܐ,ܐܡܪܐ
,,ܚܕ,ܚܕ
ܘܐܘܟܠܝܠܦܪ̈ܘܓܐܕܢܪܒܘܢ܂ܘܐܪܟܒܝܥܠܚܨܝ̈ܗܘܢܠܛܠܝ̈ܐ,,,
,,ܐܘܟܠܝܠܢܫܪ̈ܐܕܢܬܪܒܘܢ܂ܘܟܠܝܘܡܬܪܟܒܝ,ܐܘܟܠܝܠܢܫܪ̈ܐܕܢܬܪܒܘܢ܂ܘܟܠܝܘܡܬܪܟܒܝ
,,ܛ̈ܠܝܐ,ܛܠܝ̈ܐ
,,ܥܠܚܨ̈ܝܢܫܪ̈ܐ,ܥܠܚܨ̈ܝܢܫܪ̈ܐ
ܟܡܐ,,ܟܡܐ,ܟܡܐ
ܕܐܝܬܝܗܘܢ,,ܕܙܥܘܪ̈ܝܢ,ܕܙܥܘܪܝܢ
ܕܠܐܝܘܩܪܐ܂ܘܩܛܘܪܝ,,ܕܠܐܝܘܩܪܐ܂ܘܩܛܘܪܝ,ܕܠܐܝܘܩܪܐ܂ܘܩܛܘܪܝ
ܠܚܘ̈ܛܐܒܪ̈ܓܠܐܕܢܫܪ̈ܐܘܐܦܪܚܐܢܘܢ,,ܛܘܢܒ̈ܐ,ܛܘܢ̈ܒܐ
,,ܒܪ̈ܓܠܝܢܫܪ̈ܐ,ܒܪ̈ܓܠܝܢܫܪ̈ܐ
ܒܐܐܪ܂,,ܒܐܐܪ܂,ܒܐܐܪ܆
ܘܛܠܝ̈ܐ,,ܘܛ̈ܠܝܐ,ܘܛܠܝ̈ܐ
ܥܠܚܨܝ̈ܗܘܢܪܟܝܒܝܢ܂ܩܠܝܠܙܒܢܐܕܢܐܠܦܘܢܠܛܥܘܢܬܗܘ̇ܢ܂ܘܟܕܡܬܥܠܝܢܒܐܐܪ,,ܢܪܟܒܘܢܥܠܚܨܗܘܢܟܕ,ܢܪܟܒܘܢܥܠܚܨܗܘܢܟܕ
,,ܙܥܘܪ̈ܝܢ,ܙܥܘܪܝܢ
ܐܠܦܝ,,,
ܛܠܝ̈ܐ,,ܐܝܟܢܐܕܢܬܥܝܕܘܢ,ܐܝܟܢܐܕܢܬܥܝܕܘܢ
,,ܒܛܥܘܢܬܗܘܢ܂ܘܟܕܢܦܪܚܘܢ܂,ܒܛܥܘܢܬܗܘܢ܇ܘܟܕܢܦܪܚܘܢ܇ܐܠܦܛܠܝܐ̈
ܕܢܩܥܘܢ,,,
,,ܐܠܦܝ,
ܘܢܐܡܪܘܢܥܡܦܪ̈ܚܗܘܢܟܕܐܝܬܝܗܘܢܥܠܚܨ̈ܐܕܢܫܪܐܐܡܛܘ,,,
,,ܛܠ̈ܝܐ,
,,ܕܢܩܥܘܢ,ܕܢܩܥܘܢ
,,ܥܠܚܨܝ̈ܢܫܪ̈ܐܡܐܕܣܠܩܝܢܒܐܐܪܗܟܢܐ܂ܡܢܥܘ,ܥܠܚܨܝ̈ܢܫܪ̈ܐܡܐܕܣܠܩܝܢܒܐܐܪܗܟܢܐ܂ܡܢܥܘ
ܠܢܟܠܫܐ,,ܠܢܟܠܫܐ,ܠܢܟܠܫܐ
ܘܛܝܢܐܘܠܒܢ̈ܐܘܟܐ̈ܦܐܡܛܠܕܐܪܕ̈ܟܠܐ,,ܘܓܨܐ,ܘܓܨܐ
,,ܘܟ̈ܐܦܐ܂ܕܒܢ̈ܝܐ,ܘܟܐܦ̈ܐ܂ܕܒܢܝܐ̈
ܘܦܥ̈ܠܐ,,ܘܦܥ̈ܠܐ,ܘܦܥ̈ܠܐ
ܒܛܝܠܝܢܒܪܨܒܝܢܕܢܒܢܘܢܒܝܪܬܐܒܫܡܝܐܠܦܪܥܘܢܡܠܟܐ܂ܘܟܕܢܫ̈ܠܡܢܡܠ̈ܐܗܠܝܢ,,ܒܛܠܝܢ܂ܘܨܒܝܢܓܝܪܠܡܒܢܐܒܝܪܬܐܒܐܐܪ܂,ܒܛܠܝܢ܂ܘܨܒܝܢܓܝܪܠܡܒܢܐܒܝܪܬܐܒܐܐܪ܂
,,ܒܬܪܟܢܕܝܢܓܕܝ̈,ܒܬܪܟܢܕܝܢ
ܓܕܝ,,,ܓܕܝ
ܘܐܝܬܝ,,ܠܦܪ̈ܘܓܐ,ܠܦܪ̈ܘܓܐ
,,ܘܐܚܬ,ܘܐܚܬܝ
ܐܢܘܢ,,ܐܢܘܢ,ܐܢܘܢ
ܠܒܝܬܐܥܕܡܐܕܐܬܐ܂ܘܐܢ̄ܬܬܝ,,ܠܐܪܥܐܘܐܥܠܐܢܘܢܒܓܘ,ܠܐܪܥܐܘܐܥܠܐܢܘܢܒܓܘ
,,ܓܠܘܣܩܡ̈ܐ܂ܘܫܕܪܝ,ܓܠܘܣܩܡܐ܁ܘܫܕܪ
,,ܠܝܦܬܓܡܐܕܐܕܥܒܓܘܫܘܡܠܝܨܒܘܬܐܗܕܐ܂ܘܐܦ,ܠܝܦܬܓܡܐܕܐܕܥܒܓܘܫܘܡܠܝܨܒܘܬܐܗܕܐ܂ܘܐܦ
ܐܫܦܓܢܐ,,ܐܫܦܓܢܐ,ܐܫܦܓܢܐ
