430,syr. 434,syr. 611,syr. 612
ܐܢ̄ܬܬܐܗ̄ܘܬ,,ܐܢ̄ܬܬܝܣܓܝ,ܐܢ̄ܬܬܝܣܓܝ
ܚܟܝܡܬܐ,,ܚܟܝܡܬܐ,ܚܟܝܡܬܐ
ܘܗܘܢܢܝܬܐܘܟܠܕܦܩܕܬܐܥܒܕܬ܂ܘܒܬܪܩܠܝܠܝܘ̈ܡܬܐ,,ܐܝܬܝܗܗ̄ܘܬ܂ܘܟܠܡܐܕܦܩܕܬܗܥܒܕܬܗܘܐܘܕܥܬܠܝ܂ܒܬܪܩܠܝܠܝܘܡܝ̈ܢܐܢܐܐܚܝܩܪ,ܐܝܬܝܗܗ̄ܘܬ܂ܘܟܠܡܐܕܦܩܕܬܗܥܒܕܬܗܘܐܘܕܥܬܠܝ܂ܒܬܪܩܠܝܠܝܘܡܝ̈ܢܐܢܐܐܚܝܩܪ
ܐܡܪܬܠܡܠܟܐ,,ܐܡܪܬܠܡܠܟܐ,ܐܡܪܬܠܡܠܟܐ
ܕܢܦܩܘܕܠܡܐܙܠܬܐ,,ܕܐܙܠ,ܕܐܙܠ
ܠܡܨܪܝܢ܂ܡܛܠ,,ܠܡܨܪܝܢ܂ܡܛܠ,ܠܡܨܪܝܢ܂ܡܛܠ
ܡܛܐ,,ܕܡܛܐ,ܕܡܛܐ
ܙܒܢܐ,,ܙܒܢܐ,ܙܒܢܐ
ܕܐܚܙܘܩ܂ܘܟܕ,,ܕܐܪܕܐܒܗ܂ܗܝܕܝܢ,ܕܐܪܕܐܒܗ܂ܗܝܕܝܢ
ܝܗ̄ܒ,,ܝܗܒܠܝ,ܝܗ̄ܒ
ܦܘܩܕܢܐ,,ܦܘܩܕܢܐ,ܦܘܩܕܢܐ
ܢܣܒܬ,,ܘܢܣܒܬ,ܘܢܣܒܬ
ܥܡܝ,,ܥܡܝ,ܥܡܝ
ܚܝܠܘ̈ܬܐܣܓ̈ܝܐܐܘܪܕܪܝܢܐܘܪܚܐܕܝܘܡܐ,,ܚܝܠܐܣܓܝ܂ܘܟܕܥܒܪܢܢܡܪܕܐܝܘܡܐ,ܚܝܠܐܣܓܝ܂ܘܟܕܥܒܪܢܢܡܪܕܐܝܘܡܐ
ܚܕ܂,,ܚܕ܂,ܚܕ܂
ܘܫܪܝܢܒܦܩܥܬܐܚܕܐܪܘܝܚܬܐ܂ܘܐܦܩܬܡ̣ܢܓܠܘܣܩ̈ܡܐܠܢܫܪܐܘܩܛܪܬܒܪ̈ܓܠܝܗܘ̇ܢܠܚܘ̈ܛܐܗܢܘܢ,,ܘܩܡܢܒܕܘܟܬܐܕܪܘܝܚܐ,ܘܩܡܢܒܕܘܟܬܐܕܪܘܝܚܐ
,,ܒܦܩ̈ܥܬܐ܂,ܒܦܩܥܬܐ܂
,,ܗܝܕܝܢܐܦܩܬܠܢܫܪ̈ܐܡ̣ܢ,ܗܝܕܝܢܐܦܩܬܠܢܫܪ̈ܐܡ̣ܢ
,,ܓܠܘܣܩ̈ܡܐ܂,ܓܠܘܣܩܡ̈ܐ܂
,,ܘܐܣܪܬܒܪ̈ܓܠܝܗܘܢܛܘܢ̈ܒܐ܁,ܘܐܣܪܬܒܪ̈ܓܠܝܗܘܢܛܘܢ̈ܒܐ܁
ܘܐܪܟܒܬ,,ܘܐܪܟܒ̣ܬܛ̈ܠܝܐ,ܘܐܪܟܒܬ
ܥܠܚܨܝ̈ܗܘܢܠܛܠܝ̈ܐ,,,ܛܠܝ̈ܐ
,,ܥܠܚܨܝ̈ܗܘܢ,ܥܠܚܨܝ̈ܗܘܢ
ܘܦܪܚܘ,,ܘܦܪܚܘ,ܘܦܪܚܘ
ܒܐܐܪ܂,,ܒܐܐܪ,ܒܐܐܪ
ܥܕܡܐܕܠܐܡܬܚܙܝܢ,,ܥܕܡܐܕܠܐܡܬܚܙܝܢ,ܥܕܡܐܕܠܐܡܬܚܙܝܢ
ܡ̣ܢܐ̄ܢܫ܂ܘܥܡܦܪܚܗܘܢܩܥܘ,,ܗ̄ܘ̣ܘ܂ܗ̇ܝܕܝܢ,ܗ̄ܘܘ܂ܗܝܕܝܢ
,,ܫܪܝܘܩܥܝܢ,ܫܪܝܘܩܥܝܢ
ܛܠܝ̈ܐ,,ܛ̈ܠܝܐ,ܛܠܝ̈ܐ
ܘܐܡܪܘܐܡܛܘܠܢܟܠܫܐܘܛܝܢܐܘܠܒܥ̈ܐܘܟܐ̈ܦܐܡܛܠܕܐܪܕܟ̈ܠܐ,,ܥܠܚܨܝ̈ܢܫܪ̈ܐܒܐܐܪ܂ܓܨܐܘܟܠܫܐܘܟܐܦ̈ܐ,ܥܠܚܨܝ̈ܢܫܪ̈ܐܒܐܐܪ܂ܓܨܐܘܟܠܫܐܘܟܐܦ̈ܐ
,,ܡܢ̣ܥܘܠܢ܂,ܡܢܥܘ܂
,,ܕܒܢܝ̈ܐ,ܕܒܢܝ̈ܐ
ܘܦܥ̈ܠܐܒܛܝܠܝܢ܂,,ܘܦܥ̈ܠܐܒܛܝܠܝܢ܂,ܘܦܥ̈ܠܐܒܛܝܠܝܢ܂
ܒܕܨܒܝܢܕܢܒܢܘ̇ܢܒܝܪܬܐܒܫܡܝܐܥܠܝ̈ܐ܂ܗܝܕܝܢܐܚܬܬ,,ܘܒܥܝܢܕܝܢܕܢܒܢܘܢܒܝܪܬܐܒܫܡܝܐܕܥܠܝ܂ܗܝܕܝܢܢܓܕܬ,ܘܒܥܝܢܕܝܢܕܢܒܢܘܢܒܝܪܬܐܒܫܡܝܐܕܥܠܝ܂ܗܝܕܝܢܢܓܕܬ
ܐܢܘܢ,,ܐܢܘܢ,ܐܢܘܢ
ܐܟܡܐܕܐܠܦܬܗ̄ܘܝܬܡ̣ܢܩܕܝܡܠܐܢ̄ܬܬܝ܂ܘܟܕ,,ܘܢܚܬܘ܂,ܘܢܚܬ܂
,,ܟܕ,ܟܕ
ܫܡܥܘܐܬܘܪ̈ܝܐ,,ܫܡܥܘܐܬܘܪ̈ܝܐ,ܫܡܥܘܐܬܘܪ̈ܝܐ
ܗܢܘܢܕܥܪܩܘܗ̄ܘ̤ܘ܂ܗܠܝܢܗܦܟܘܠܐܬܪ̈ܗܘܢܟܠܗܘܢ܀ܡܥܠܬܐ,,ܗܕܐܚܕܝܘܚܕܘܬܐ,ܗܕܐܚܕܝܘܚܕܘܬܐ
,,ܪܒܬܐ܀,ܪܒܬܐ܀܀܀
,,ܡܥܠܬܗ,ܡܥܠܬܗ
ܕܐܚܝܩܪ,,ܕܐܚܝܩܪ,ܕܐܚܝܩܪ
ܠܡܨܪܝܢܘܕܩܡ,,,
ܩܕܡ,,ܩܕܡ,ܩܕܡ
ܦܪܥܘܢ܀ܘܟܕܡܛܝܬܠܡܨܪܝܢ,,ܦܪܥܘܢܡܠܟܐ,ܦܪܥܘܢܡܠܟܐ
,,ܕܡܨܪܝܢ܀,ܕܡܨܪܝܢ
,,ܟܕܥܠܬܥܡ,ܟܕܥܠܬܥܡ
,,ܚܝ̈ܠܘܬܝ,ܚܝܠܘܬ̈ܝ
ܐܢܐ,,ܐܢܐ,ܐܢܐ
ܐܚܝܩܪ܂ܘܚܝܠܘ̈ܬܥܡܝ܂ܘܐܘܕܥܘܠܡܠܟܐܥܠܝܘܐܡܪܘܐܫܬܕܪܠܟܡ̣ܢܣܢܚܪܝܒ,,ܐܚܝܩܪܠܡܨܪܝܢ܂,ܐܚܝܩܪܠܡܨܪܝܢ܂
,,ܐܙܠܬ,ܐܙ̄ܠܬ
,,ܠܘܬܦܪܥܘܢܡܠܟܐܘܐܘܕܥܘܗܝ,ܠܘܬܦܪܥܘܢܡܠܟܐܘܐܘܕܥܘܗܝ
,,ܥܒܕܘ̈ܗܝ,ܥܒܕܘܗ̈ܝ
,,ܕܗܐ,ܕܗܐ
ܓܒܪܐ,,ܓܒܪܐ,ܓܒܪܐ
ܐܟܡܐܕܒܥܝܬ܂ܘܦܩܕܡܠܟܐܝܗ̄ܒܘܕܘܟܬܐܕܢܫܪܐܒܗ܂ܘܬܘܒܦܩܕܘܐܥܠܘܢܝܩܕܡܘܗܝ܂ܘܟܕܩܡܬܩܕܡܘܗܝܣܓܕܬܠܗܥܠܐܪܥܐܘܩܪܝܬܥܠܘܗܝܫܠܡܐ܂ܐܡܪ,,ܕܒܥܝܬܡ̣ܢܡܠܟܐܕܐܬܘܪܡܢܥ܂ܡܢܐܢܗܘܐܦܘܩܕܢܟ܂,ܕܒܥܝܬܡ̣ܢܡܠܟܐܕܐܬܘܪܡܢܥ܂ܡܢܐܢܗܘܐܦܘܩܕܢܟ܂
,,ܘܦܩ̣ܕ,ܘܦܩܕ
ܠܝ,,,
ܡܢ̣ܘ,,ܦܪܥܘܢܘܝܗ̄ܒܠܢܕܘܟܬܐ܂ܠܝ,ܦܪܥܘܢܘܝܗ̄ܒܠܢܕܘܟܬܐ܂ܠܝ
,,ܘܠܚܝ̈ܠܘܬܝ܂,ܘܠܚܝܠܘܬ̈ܝ܂
,,ܟܢܦܩܕܦܪܥܘܢ,ܟܢܦܩܕܦܪܥܘܢ
,,ܘܥܠܬ̣ܩܕܡ܏ܘ܆ܩܕܡܘܗܝ܆,ܘܥܠܬܩܕܡܘܗܝ܇
,,ܘܣܓܕܬܠܗ܂,ܘܣܓܕܬܠܗ܂
,,ܗ̇ܝܕܝܢܐܡ̣ܪ,ܗܝܕܝܢܐܡܪ
,,ܠܝ,
,,ܡܢܘ,ܡܢܘ
ܫܡܟ܂ܐܡܪܬ,,ܫܡܟ܂ܐܡܪܬ,ܫܡܟ܂ܐܡܪܬ
ܠܗܥܒܕܟܐܒܝܩܐܡܟܐܡܬ,,ܐܒܝܩܡܫܡܗܕܥܒܕܟܐܝܬܘܗܝ܂,ܐܒܝܩܡܫܡܗܕܥܒܕܟܐܝܬܘܗܝ܂
ܫܘܫܡܢܐܡ̣ܢ,,ܫܘܫܡܢܐܡ̣ܢ,ܫܘܫܡܢܐܡ̣ܢ
ܫܘܫܡܢ̈ܐܕܣܢܚܪܝܒ܂ܘܟܕܫܡܥܗܠܝܢܣܓܝܟܪܝܬܠܡܠܟܐܘܐܡ̣ܪܗܟܢܐܫܝܛܐܐܝܬܝܒܥܝܢܝ̈,,ܫܘܫܡܢܝ̈,ܫܘܫܡܢܝ̈
,,ܣܪܚܕܘܡ,ܣܪܚ܏ܕ܆ܣܪܚܕܘܡ܆
,,ܡܠܟܐܕܐܬܘܪ,ܡܠܟܐܕܐܬܘܪ
,,ܘܢܝ̈ܢܘܐ܂,ܘܢܝܢܘܐ܂
,,ܘܟܕܫܡܥܦܪܥܘܢܪܓܙܥܠܝܘܐܡܪ܂,ܘܟܕܫܡܥܦܪܥܘܢܪܓܙܥܠܝܘܐܡܪ܂
,,ܕܗܟ̣ܢ,ܕܗܟܢ
,,ܒܨܝܪܐ̄ܢܐܠܘܬ,ܒܨܝܪܐ̄ܢܐܠܘܬ
ܡܪܟ,,ܡܪܟ,ܡܪܟ
ܕܢܫܕܪ,,ܕܫܘܫܡܢܐ,ܕܫܘܫܡܢܐ
,,ܢܫܕܪ,ܫܕܪ
ܠܝ,,ܠܝ,ܠܝ
ܫܘܫܡܢܐ܂ܕܢܦܢܐܠܝܦܬܓܡܐܕܫ̈ܘܐܠܝ܂ܘܐܡܪ,,ܕܢܓܝܒܢܝ܂ܗܫܐ,ܕܢܓܝܒܢܝ܂ܗܫܐ
ܙܠ,,ܙܠ,ܙܠ
ܝܘܡܢܐܘ̇ܐܒܝܩܐܡܠܕܘܟܬܟܘܒܨܦܪܐܬܐܬܐ,,ܐܘܐܒܝܩܡ,ܐܘܐܒܝܩܡ
,,ܠܬܘܢܟ܂,ܠܬܘܢܟ܇
,,ܘܡܚܪܗܦܘܟ,ܘܡܚܪܗܦܘܟ
ܠܘܬܝ܂,,ܠܘܬܝ܂,ܠܘܬܝ܂
ܒܬܪܕܢܦܩܬܡܢܩܕܡܘܗܝ܂ܠܚܐܪ̈ܘܗܝܦܩܕܕܠܨܦܪܐܢܠܒܫܘܢܟܠܗܘܢܬܟܣܝܬܐܣܘܡܩܬܐܘܢܐܬܘܢܠܘܬܗ܂ܘܟܕܕܢܚܨܦܪܐ,,ܘܐܙܠܬ܂,ܘܐܙܠ̄ܬ
,,ܘܦܩܕܦܪܥܘܢ,ܘܦܩܕܦܪܥܘܢ
,,ܠܪ̈ܘܪܒܢܘܗܝ,ܠܪܘܪ̈ܒܢܘܗܝ
,,ܕܢܠܒܫܘܢܡܚܪܠܒܘܫܐܕܒܘܨܐ,ܕܢܠܒܫܘܢܡܚܪܠܒܘܫܐܕܒܘܨܐ
,,ܣܘܡܩܐ,
,,ܘܢܐܬܘܢܠܘܬܗ܂ܘܐܦܡܠܟܐ,ܘܢܐܬܘܢܠܘܬܗ܂ܘܐܦܡܠܟܐ
ܠܒܫ,,ܠܒܫ,ܠܒܫ
ܡܠܟܐܐܦܗܘ̤,,,
ܐܪܓܘܢܐ,,ܐܪܓܘܢܐ,ܐܪܓܘܢܐ
ܘܝܬܒܥܠܒܝܡܕܝܠܗ܂ܘܟܠܚܐܪ̈ܘܗܝܚܕܪ̈ܘܗܝܟܠܗܘܢ܂ܘܦܩܕܘܐܥܠܘܢܝܩܕܡܘܗܝ,,ܣܘܡܩܐܘܝܬܒܥܠܟܘܪܣܝܗ܂ܘܟܠܗܘܢܥܒܕܘ̈ܗܝ,ܣܘܡܩܐܘܝܬܒܥܠܟܘܪܣܝܗ܂ܘܟܠܗܘܢܥܒܕܘ̈ܗܝ
,,ܘܪܘܪ̈ܒ̣ܢܘܗܝ,ܘܪܘܪ̱̈ܒ̣ܢܘܗܝ
,,ܚܕܪ̈ܘܗܝ܂ܟܢܦܩܕܘܐܥܠܘܢܝܠܘܬܗ,ܚܕܪ̈ܘܗܝ܂ܟܢܦܩܕܘܐܥܠܘܢܝܠܘܬܗ
ܘܐܡܪܠܝܐܘ,,ܘܐܡܪܠܝܐܘ,ܘܐܡܪܠܝܐܘ
ܐܒܝܩܐܡܠܡ̇ܢܕܡܐܐ̄ܢܐܘܚܐܪ̈ܝܠܡܢ,,ܐܒܝܩܡ܂,ܐܒܝܩܡ܂
,,܀ܫܘ̈ܐܠܐ܀,
,,ܠܡܢܕܡܐܐ̄ܢܐܘܚܝ̈ܠܘܬܝܠܡܢܘ,ܠܡܢܕܡܐܐ̄ܢܐܘܚܝ̈ܠܘܬܝܠܡܢܘ
ܕܡܝܢ܂,,ܕܡܝܢ܂,ܕܡܝܢ܂
,,,܀ܫܘܐܠ̈ܐ܀܀ܐ܀
ܐܡܪܬܠܗ,,ܐܡܪܬܠܗ,ܐܡܪܬܠܗ
ܐܘܡܪܝ,,ܕܝܢܡܪܝ܂,ܕܝܢܡܪܝ܂
ܕܡܐܐܢ̄ܬܠܒܝܠܨܠܡܐ܂,,ܕܡܐܐܢ̄ܬܠܒܝܠܨܠܡܐ܂,ܕܡܐܐܢ̄ܬܠܒܝܠܨܠܡܐ܂
ܘܚܐܪ̈ܝܟ,,ܘܥܒܕ̈ܝܟ,ܘܥܒܕ̈ܝܟ
ܠܡܫܡܫܢܘ̈ܗܝ܂,,ܠܡܫܡܫܢ̈ܘܗܝ܂,ܠܡܫܡܫܢܘ̈ܗܝ܂
ܗܝܕܝܢܐܡܪܠܝܙܠ,,ܗܝܕܝܢܐܡܪܠܝܙܠ,ܗܝܕܝܢܐܡܪܠܝܙܠ
ܐܘ̇ܐܒܝܩܐܡܠܕܘܟܬܟ܂ܘܒܨܦܪܐܬܐܬܐܠܘܬܝ܂ܒܬܪܕܢܦܩܬܦܩܕ,,ܐܘܐܒܝܩܡ܂,ܐܘܐܒܝܩܡ܂
,,ܗܫܐ,ܗܫܐ܂
,,ܘܡܚܪܬܐ܂܀ܒ܀ܘܦܩܕܡܠܟܐ,ܘܡܚܪܬܐ܂܀ܒ܀ܘܦܩܕܡܠܟܐ
ܠܪܘܪ̈ܒܢܘܗܝܕܢܠܒܫܘܢ,,ܠܪ̈ܘܪܒܢܘܗܝܕܢܠܒܫܘܢܠܒܘܫ̈ܐ,ܠܪܘܪ̈ܒܢܘܗܝܕܢܠܒܫܘܢ
ܟ̇ܠܗܘܢܚܘܪ̈ܐܕܢܗܘܘܢܡ̣ܢܬܟܠܬܐ܆ܘܢܐܬܘܢܠܘܬܗ܂ܘܐܦܡܠܟܐܐܬܟܣܝ,,,ܠܒܘܫܐ
ܚܘܪ̈ܐܡ̣ܢܬܟܠܬܐ,,ܚܘܪ̈ܐܡ̣ܢܬܟܠܬܐ,ܚܘܪ̈ܐܡ̣ܢܬܟܠܬܐ
ܘܝܬܒܥܠܒܝܡܕܝܠܗܘܪܘܪ̈ܒܢܘ̈ܗܝܟܕܩܝܡܝܢܩܕܡܘܗܝ܂ܘܦܩܕܘܐܥܠܘܢܝܩܕܡܘܗܝܘܐܡ̣ܪܠܝܐܘܐܒܝܩܐܡܠܡܢܕܡܐܐ̄ܢܐܘܚܐܪ̈ܝܠܡܢܕܡܝܢ܂ܐܡܪܬܠܗܐܢ̄ܬܕܡܐܐܢ̄ܬܠܫܡܫܐܘܪܘܪ̈ܒ̣ܢܝܟܠܨܡܚܘܗܝ܂ܗܝܕܝܢܐܡܪܠܝܙܠܠܕ݂ܘܟܬܟܘܒܨܦܪܐܬܐܬܐܠܘܬܝ܂ܒܬܪܕܢܦܩܬܦܩܕܠܚܐܪ̈ܘܗܝܘܐܡܪܒܨܦܪܐܠܒܫܘܐܘܟܡܐܘܐܦܘܐ̈ܠܐܕܗܝܟ̈ܠܐܥܒܕܡܢܬܟܠܬܐܐܘܟܡܬܐ܂ܘܡܠܟܐܬܘ̣ܒ,,ܘܢܬܛܝܒܘܢܠܘܬܗ܂ܘܐܦܡܠܟܐ,ܘܢܬܛܝܒܘܢܠܘܬܗ܂ܘܐܦܡܠܟܐ
ܠܒܫ,,ܠܒܫ,ܠܒܫ
ܙܚܘܪܝܬܐ,,,
ܘܝܬܒܥܠ,,ܘܝܬܒܥܠ,ܘܝܬܒܥܠ
ܒܝܡ܂,,ܟܘܪܣܝܗ܁ܘܪ̈ܘܪܒܢ܏ܘ܆ܘܪ̈ܘܪܒܢܘܗܝ܆,ܟܘܪܣܝܗܘܪܘܪ̈ܒܢܘܗܝ
,,ܩܝܡܝܢ,ܩܝܡܝܢ
,,ܩܕܡ܏ܘ܆ܩܕܡܘܗܝ܆,
,,,ܩܕܡܘܗܝ
ܘܦܩܕܘܐܬܛܝܒܬ,,ܘܦܩܕܘܐܬܛܝܒܬ,ܘܦܩܕܘܐܬܛܝܒܬ
ܩܕܡܘܗܝ,,,
,,ܠܘܬܗ܂,ܠܘܬܗ܂
ܗܝܕܝܢܐܡܪܠܝܠܡܢܕܡܢܐܘܚܐܪ̈ܝܠܡܢܕܡܝܢ܆ܐܡܪܬܠܗܐܢ̄ܬܕܡܐܐܢ̄ܬܠܣܗܪܐܘܪܘܪ̈ܒܢܝܟܕܡܝܢܠܟܘ̈ܟܒܐ܂ܐܡܪܠܝܙܠܝܘܡܢܠܕܘܟܬܟܘܒܨܦܪܐܬܐܬܐ,,ܘܐܡ̣ܪ,ܘܐܡܪ
,,ܠܝܐܘܐܒܝܩܡ,ܠܝܐܘܐܒܝܩܡ
,,ܠܡ̇ܢ,ܠܡܢ
,,ܕܡܐܐ̄ܢܐܘܪܘܪ̈ܒܢܝܠܡܢܘܕܡܝܢ܂ܐܡ̇ܪܬܠܗܕܝܢ܂ܐܢ̄ܬܠܫܡܫܐ,ܕܡܐܐ̄ܢܐܘܪܘܪ̈ܒܢܝܠܡܢܘܕܡܝܢ܂ܐܡ̇ܪܬܠܗܕܝܢ܂ܐܢ̄ܬܠܫܡܫܐ
,,ܘܪܘܪ̈ܒܢܝܟ,ܘܪܘܪ̱̈ܒܢܝܟ
,,ܠܙܠܝܩ̈ܐ܂ܬܘܒܐܡܪܙܠܠܬܘܢܟܘܡܚܪ,ܠܙܠܝܩ̈ܐ܂ܬܘܒܐܡܪܙܠܠܬܘܢܟܘܡܚܪ
,,ܗܦܘܟ,ܗܦܘܟܝ
ܠܘܬܝ܂,,ܠܘܬܝ܂,ܠܘܬܝ܂
ܒܬܪܕܢܦܩܬܦܩܕܠܚܐܪ̈ܘܗܝܕܒܨܦܪܐܢܠܒܫܘܢܓܘ̈ܢܐܡܫܚܠܦ̈ܐܕܬܟܣ̈ܝܬܐ܂ܘܐܦܝ̈ܬܪ̈ܥܐܕܗܝܟ̈ܠܐܢܗܘܘܢܣܘܡܩܐ܂ܘܡܠܟܐܐܬܟܣܝܦܕܬܐܓܘܢܝܬܐܘܝܬܒܥܠܒܝܡ܂,,܀ܓ܀ܘܦܩܕ,܀ܓ܀ܘܦܩܕ
,,ܡܠܟ̇ܐܠܪ̈ܘܪܒܢܘܗܝ,ܡܠܟܐܠܪܘܪ̈ܒܢܘܗܝ
,,ܕܢܠܒܫܘܢܙܪܓܐܫܥܘܬܐܕܙܚܘܪܝܬܐ܁ܘܐܦܡܠܟܐܠܒܫ,ܕܢܠܒܫܘܢܙܪܓܐܫܥܘܬܐܕܙܚܘܪܝܬܐ܁ܘܐܦܡܠܟܐܠܒܫ
,,ܗܟ̣ܢܐ,ܗܟܢܐ
,,ܘܝܬܒܥܠ,ܘܝܬܒܥܠ
,,ܟܘܪܣܝܗ܁,ܟܘܪܣܝܗ܂
ܘܦܩܕܘܐܬܛܝܒܬ,,ܘܦܩܕܘܐܬܛܝܒܬ,ܘܦܩܕܘܐܬܛܝܒܬ
ܩܕܡܘܗܝ,,ܠܘܬܗ܂,ܠܘܬܗ܂
ܘܐܡܪ,,ܘܐܡ̣ܪ,ܘܐܡܪ
ܠܝ,,ܠܝ,ܠܝ
ܠܡܢܕܡܐܐ̄ܢܐܘܚܐܪ̈ܝܠܡ̣ܢ,,ܐܒܝܩܡܠܡ̇ܢܕܡܐ,ܐܒܝܩܡܠܡ̇ܢܕܡܐ
,,ܐܢܐ,ܐ̄ܢܐ
,,ܗܫܐ,ܗܫܐ
,,ܘܪܘܪ̈ܒܢܝ,ܘܪܘܪ̱̈ܒܢܝ
,,ܠܡܢܘ,ܠܡܢܘ
ܕܡܝܢ܂ܐܡܪܬܠܗܐܢ̄ܬ,,ܕܡܝܢ܂ܐܡܪܬܠܗܐܢ̄ܬ,ܕܡܝܢ܂ܐܡܪܬܠܗܐܢ̄ܬ
ܕܡܐܠܢܝܣܢܝܪܚܐܘܪܘܪ̈ܒܢܝܟܕܡܝܢܠܗܒܒܘ̈ܗܝܘܫܘܫܢ̈ܐܕܝܠܗ܂ܘܟܕ,,ܠܣܗܪܐ,ܠܣܗܪܐ
,,ܘܪܘܪ̈ܒܢܝܟܠܟܘܟ̈ܒܐ܂,ܘܪܘܪ̱̈ܒܢܝܟܠܟܘܟܒ̈ܐ܂
,,ܐܡܪܠܝܙܠܠܬܘܢܟܘܡܚܪܗܦܘܟ܂܀ܕ܀ܘܦܩܕܕܝܢ,ܐܡܪܠܝܙܠܠܬܘܢܟܘܡܚܪܗܦܘܟ܂܀ܕ܀ܘܦܩܕܕܝܢ
,,ܠܪܘܪ̈ܒܢܘܗܝܕܢܠܒܫܘܢܠܒܘܫ̈ܐ,ܠܪܘܪ̱̈ܒܢܘܗܝܕܢܠܒܫܘܢܠܒܘ̈ܫܐ
,,ܕܙܢܝ̈ܢ,ܕܙܢܝ̈ܢ
,,ܙܢܝ̈ܢ܂,ܙܢܝ̈ܢ܆
,,ܘܘܐܠܝ̈ܗܝܟܠܐ,ܘܘܐܠܝ̈ܗܝܟܠܐ
,,ܢܗܘ̈ܝܢ,ܢܗ̈ܘܝܢ
,,ܣܘܡܩ̈ܬܐ܂ܘܡܠܟܐܠܒܫܦܪܦܝܪܐܘܝܬܒܥܠܟܘܪܣܝܗ܂ܘܦܩܕܘܐܬܛܝܒܬܠܘܬܗ܂ܘܐܡܪܠܝܐܘܐܒܝܩܡ܂ܠܡܢܘܕܡܐ,ܣܘܡܩ̈ܬܐ܂ܘܡܠܟܐܠܒܫܦܪܦܝܪܐܘܝܬܒܥܠܟܘܪܣܝܗ܂ܘܦܩܕܘܐܬܛܝܒܬܠܘܬܗ܂ܘܐܡܪܠܝܐܘܐܒܝܩܡ܂ܠܡܢܘܕܡܐ
,,ܐܢܐܘܪܘܪ̈ܒ̣ܢܝ,ܐ̄ܢܐܘܪܘܪ̱̈ܒܢܝ
,,ܠܡܢܘ,ܠܡܢܘ
,,ܕܡ̈ܝܢ܂ܐܡܪܬܠܗܓܝܪܕܡܐܐ̄ܢܬ,ܕܡܝܢ܂ܐܡܪܬܠܗܕܝܢܕܡܐܐܢ̄ܬ
,,ܠܝܪܚܢܝܣܢ܂,ܠܝܪܚܢܝܣܢ܂
,,ܘܪܘܪ̈ܒ̣ܢܝܟ,ܘܪܘܪ̱̈ܒܢܝܟ
,,ܠܗܒܒܘ̈ܗܝ܂܀ܗ܀ܟܕ,ܠܗܒܒܘ̈ܗܝ܂܀ܗ܀ܟܕ
ܫܡܥ,,ܫܡܥ,ܫܡܥ
ܗܠܝܢܚܕܝܛܒ,,ܕܝܢܡܠܟܐܪܘܙܒܚܕܘܬܐ,ܕܝܢܡܠܟܐܪܘܙܒܚܕܘܬܐ
ܘܐܡܪ,,ܘܐܡܪ,ܘܐܡܪ
,,ܠܝ܂,ܠܝ܇
ܐܘ,,ܐܘ,ܐܘ
ܐܒܝܩܐܡ,,ܐܒܝܩܡ,ܐܒܝܩܡ
,,,ܙܒܢܬܐ
ܙܒܢ̄ܬܐ,,ܙܒܢ̄ܬܐ,ܙܒܢ̄ܬܐ
ܩܕܡܝܬܐܕܡܝܬܢܝܠܒܝܠ܂ܘܚܐܪ̈ܝܠܡܫܡ̈ܫܢܘܗܝ܂ܘܕܬܪܬܝܢܒܫܡܫܐܘܪܘܪ̈ܒܢܝܒܨܡܚܘ̈ܗܝ܂ܘܕܬܠܬܒܣܗܪܐܘܚܐܪ̈ܝܒܟܘܟܒܘ̈ܗܝ܂ܘܕܪܒܥܒܢܝܣܢܝܪܚܐܘܪܘܪ̈ܒܢܝܒܗܒܒܘ̈ܗܝ܂ܒܪܡܐܡܪܠܝܣܢܚܪܝܒ,,ܗܕܐܐܡܪܐ̄ܢܐܠܟ܂ܐܢܗܘܕܡܣܬܟܠܐܢ̄ܬܟܠܡܐܕܦܚܡܬܢܝ܂,ܗܕܐܐܡܪܐ̄ܢܐܠܟ܂ܐܢܗܘܕܡܣܬܟܠܐܢ̄ܬܟܠܡܐܕܦܚܡܬܢܝ܂
ܡܪܟ,,ܡܪܟ,ܡܪܟ
